Invoice no,Customer id,Product id,Invoice date,Shopping mall,Category,Price,Gender,Age,Payment method
INV00019,C01109,P00436,2025-05-06,TKO,Electronics,4851.46,F,41,Credit Card
INV00020,C00334,P00057,2025-08-12,TKO,Electronics,4624.48,F,41,Cash
INV00020,C00334,P00364,2025-08-12,TKO,Electronics,3224.3,F,41,Cash
INV00021,C01164,P00005,2024-12-21,TKO,Books,279.14,F,28,Cash
INV00021,C01164,P00112,2024-12-21,TKO,Clothing,909.64,F,28,Cash
INV00021,C01164,P00429,2024-12-21,TKO,Clothing,272.96,F,28,Cash
INV00021,C01164,P00491,2024-12-21,TKO,Electronics,2359.5,F,28,Cash
INV00022,C01032,P00270,2025-12-06,TKO,Electronics,1546.75,M,51,Cash
INV00022,C01032,P00442,2025-12-06,TKO,Toys,129.62,M,51,Cash
INV00022,C01032,P00432,2025-12-06,TKO,Toys,140.16,M,51,Cash
INV00023,C00911,P00343,2025-12-10,ST,Clothing,188.83,M,22,Cash
INV00023,C00911,P00243,2025-12-10,ST,Books,583.76,M,22,Cash
INV00023,C00911,P00345,2025-12-10,ST,Groceries,257.63,M,22,Cash
INV00023,C00911,P00004,2025-12-10,ST,Electronics,1561.48,M,22,Cash
INV00023,C00911,P00319,2025-12-10,ST,Toys,109.87,M,22,Cash
INV00024,C00918,P00018,2025-03-20,MK,Clothing,484.96,M,51,Credit Card
INV00024,C00918,P00081,2025-03-20,MK,Electronics,2602.3,M,51,Credit Card
INV00025,C00977,P00246,2025-06-09,ST,Toys,124.56,M,47,Credit Card
INV00025,C00977,P00446,2025-06-09,ST,Electronics,3742.21,M,47,Credit Card
INV00025,C00977,P00034,2025-06-09,ST,Electronics,1966.99,M,47,Credit Card
INV00025,C00977,P00275,2025-06-09,ST,Toys,123.05,M,47,Credit Card
INV00026,C01098,P00336,2025-05-20,CYB,Electronics,3584.61,M,25,Credit Card
INV00027,C00492,P00154,2025-11-15,MK,Toys,142.5,M,39,Cash
INV00027,C00492,P00286,2025-11-15,MK,Clothing,873.2,M,39,Cash
INV00027,C00492,P00391,2025-11-15,MK,Toys,126.47,M,39,Cash
INV00028,C00345,P00438,2025-05-29,TKO,Electronics,1511.98,F,44,Cash
INV00028,C00345,P00513,2025-05-29,TKO,Electronics,4759.29,F,44,Cash
INV00028,C00345,P00036,2025-05-29,TKO,Toys,147.22,F,44,Cash
INV00029,C00020,P00270,2024-05-20,TKO,Electronics,1546.75,M,55,Cash
INV00029,C00020,P00442,2024-05-20,TKO,Toys,129.62,M,55,Cash
INV00029,C00020,P00268,2024-05-20,TKO,Toys,120.64,M,55,Cash
INV00030,C00192,P00293,2024-07-21,ST,Books,549.13,F,51,Credit Card
INV00030,C00192,P00099,2024-07-21,ST,Electronics,1850.87,F,51,Credit Card
INV00030,C00192,P00206,2024-07-21,ST,Toys,116.79,F,51,Credit Card
INV00030,C00192,P00499,2024-07-21,ST,Books,218.54,F,51,Credit Card
INV00031,C00124,P00147,2025-03-27,MK,Groceries,121.32,F,31,Mobile Payment
INV00031,C00124,P00181,2025-03-27,MK,Clothing,950.68,F,31,Mobile Payment
INV00031,C00124,P00004,2025-03-27,MK,Electronics,1561.48,F,31,Mobile Payment
INV00031,C00124,P00210,2025-03-27,MK,Toys,105.95,F,31,Mobile Payment
INV00032,C00106,P00498,2025-03-16,MK,Clothing,950.44,M,50,Credit Card
INV00032,C00106,P00405,2025-03-16,MK,Clothing,404.12,M,50,Credit Card
INV00032,C00106,P00152,2025-03-16,MK,Toys,105.57,M,50,Credit Card
INV00033,C01027,P00267,2025-10-09,TKO,Groceries,156.44,F,35,Cash
INV00033,C01027,P00004,2025-10-09,TKO,Electronics,1561.48,F,35,Cash
INV00033,C01027,P00378,2025-10-09,TKO,Groceries,159.81,F,35,Cash
INV00033,C01027,P00019,2025-10-09,TKO,Electronics,1347.11,F,35,Cash
INV00033,C01027,P00180,2025-10-09,TKO,Clothing,456.75,F,35,Cash
INV00034,C00301,P00009,2025-02-01,MK,Clothing,644.69,F,30,Credit Card
INV00034,C00301,P00097,2025-02-01,MK,Clothing,945.18,F,30,Credit Card
INV00034,C00301,P00406,2025-02-01,MK,Groceries,269.79,F,30,Credit Card
INV00034,C00301,P00151,2025-02-01,MK,Groceries,203.53,F,30,Credit Card
INV00034,C00301,P00323,2025-02-01,MK,Clothing,335.06,F,30,Credit Card
INV00035,C00549,P00270,2024-07-27,ST,Electronics,1546.75,M,52,Cash
INV00035,C00549,P00442,2024-07-27,ST,Toys,129.62,M,52,Cash
INV00035,C00549,P00230,2024-07-27,ST,Groceries,231.51,M,52,Cash
INV00035,C00549,P00338,2024-07-27,ST,Groceries,236.45,M,52,Cash
INV00036,C00668,P00270,2025-04-26,CYB,Electronics,1546.75,M,19,Cash
INV00036,C00668,P00442,2025-04-26,CYB,Toys,129.62,M,19,Cash
INV00036,C00668,P00088,2025-04-26,CYB,Electronics,1517.13,M,19,Cash
INV00036,C00668,P00211,2025-04-26,CYB,Electronics,5621.92,M,19,Cash
INV00037,C00776,P00200,2024-07-09,ST,Books,121.94,F,56,Credit Card
INV00037,C00776,P00494,2024-07-09,ST,Clothing,827.89,F,56,Credit Card
INV00037,C00776,P00228,2024-07-09,ST,Clothing,959.47,F,56,Credit Card
INV00038,C00811,P00513,2025-12-11,MK,Electronics,4759.29,M,53,Mobile Payment
INV00038,C00811,P00231,2025-12-11,MK,Groceries,67.77,M,53,Mobile Payment
INV00038,C00811,P00509,2025-12-11,MK,Clothing,998.8,M,53,Mobile Payment
INV00038,C00811,P00033,2025-12-11,MK,Electronics,3038.85,M,53,Mobile Payment
INV00039,C00899,P00270,2025-03-24,MK,Electronics,1546.75,M,40,Cash
INV00039,C00899,P00442,2025-03-24,MK,Toys,129.62,M,40,Cash
INV00039,C00899,P00185,2025-03-24,MK,Clothing,284.8,M,40,Cash
INV00040,C00678,P00203,2025-04-29,MK,Books,229.02,M,56,Cash
INV00040,C00678,P00465,2025-04-29,MK,Electronics,2333.91,M,56,Cash
INV00040,C00678,P00013,2025-04-29,MK,Books,444.89,M,56,Cash
INV00041,C00034,P00270,2024-07-31,ST,Electronics,1546.75,M,39,Mobile Payment
INV00041,C00034,P00442,2024-07-31,ST,Toys,129.62,M,39,Mobile Payment
INV00041,C00034,P00522,2024-07-31,ST,Clothing,515.52,M,39,Mobile Payment
INV00041,C00034,P00269,2024-07-31,ST,Electronics,3003.27,M,39,Mobile Payment
INV00042,C01035,P00053,2025-09-26,CYB,Books,365.42,F,26,Cash
INV00042,C01035,P00499,2025-09-26,CYB,Books,218.54,F,26,Cash
INV00042,C01035,P00071,2025-09-26,CYB,Clothing,802.18,F,26,Cash
INV00042,C01035,P00473,2025-09-26,CYB,Books,418.07,F,26,Cash
INV00042,C01035,P00198,2025-09-26,CYB,Toys,142.51,F,26,Cash
INV00043,C00046,P00271,2024-08-03,MK,Toys,108.14,F,31,Credit Card
INV00043,C00046,P00387,2024-08-03,MK,Books,197.4,F,31,Credit Card
INV00043,C00046,P00179,2024-08-03,MK,Groceries,59.99,F,31,Credit Card
INV00044,C01099,P00494,2025-01-07,CYB,Clothing,827.89,M,59,Cash
INV00044,C01099,P00445,2025-01-07,CYB,Groceries,74.08,M,59,Cash
INV00045,C00856,P00121,2024-09-29,CYB,Groceries,304.02,F,54,Credit Card
INV00045,C00856,P00041,2024-09-29,CYB,Clothing,400.92,F,54,Credit Card
INV00045,C00856,P00413,2024-09-29,CYB,Electronics,4824.82,F,54,Credit Card
INV00046,C00410,P00500,2024-06-11,TKO,Groceries,115.32,M,47,Cash
INV00046,C00410,P00327,2024-06-11,TKO,Toys,144.39,M,47,Cash
INV00047,C01097,P00202,2024-06-16,MK,Clothing,629.66,M,44,Mobile Payment
INV00047,C01097,P00493,2024-06-16,MK,Clothing,390.27,M,44,Mobile Payment
INV00048,C00909,P00479,2024-06-05,MK,Toys,127.7,F,48,Cash
INV00048,C00909,P00304,2024-06-05,MK,Electronics,1749.41,F,48,Cash
INV00048,C00909,P00042,2024-06-05,MK,Clothing,922.33,F,48,Cash
INV00049,C01055,P00368,2024-01-13,MK,Clothing,618.82,M,38,Cash
INV00049,C01055,P00070,2024-01-13,MK,Electronics,2416.27,M,38,Cash
INV00049,C01055,P00448,2024-01-13,MK,Electronics,5494.69,M,38,Cash
INV00049,C01055,P00034,2024-01-13,MK,Electronics,1966.99,M,38,Cash
INV00050,C00840,P00277,2024-10-24,TKO,Electronics,3208.65,F,44,Cash
INV00050,C00840,P00435,2024-10-24,TKO,Toys,97.94,F,44,Cash
INV00050,C00840,P00281,2024-10-24,TKO,Clothing,401.69,F,44,Cash
INV00051,C00691,P00517,2024-08-10,TKO,Books,80.53,F,46,Cash
INV00051,C00691,P00516,2024-08-10,TKO,Electronics,2321.58,F,46,Cash
INV00051,C00691,P00491,2024-08-10,TKO,Electronics,2359.5,F,46,Cash
INV00051,C00691,P00003,2024-08-10,TKO,Groceries,166.36,F,46,Cash
INV00051,C00691,P00192,2024-08-10,TKO,Clothing,281.21,F,46,Cash
INV00052,C00544,P00045,2024-11-03,TKO,Electronics,4163.17,F,38,Mobile Payment
INV00052,C00544,P00107,2024-11-03,TKO,Books,309.9,F,38,Mobile Payment
INV00052,C00544,P00499,2024-11-03,TKO,Books,218.54,F,38,Mobile Payment
INV00053,C00594,P00179,2024-06-11,TKO,Groceries,59.99,F,40,Cash
INV00053,C00594,P00158,2024-06-11,TKO,Electronics,3576.45,F,40,Cash
INV00053,C00594,P00367,2024-06-11,TKO,Toys,137.24,F,40,Cash
INV00053,C00594,P00472,2024-06-11,TKO,Groceries,189.87,F,40,Cash
INV00054,C00039,P00062,2024-03-23,TKO,Books,355.55,M,30,Mobile Payment
INV00054,C00039,P00465,2024-03-23,TKO,Electronics,2333.91,M,30,Mobile Payment
INV00054,C00039,P00471,2024-03-23,TKO,Clothing,898.14,M,30,Mobile Payment
INV00054,C00039,P00219,2024-03-23,TKO,Books,508.09,M,30,Mobile Payment
INV00055,C00094,P00264,2025-01-21,ST,Clothing,595.5,M,51,Cash
INV00055,C00094,P00127,2025-01-21,ST,Clothing,669.91,M,51,Cash
INV00056,C00586,P00476,2024-06-05,TKO,Toys,138.66,M,53,Cash
INV00056,C00586,P00365,2024-06-05,TKO,Clothing,375.42,M,53,Cash
INV00056,C00586,P00249,2024-06-05,TKO,Clothing,475.84,M,53,Cash
INV00056,C00586,P00317,2024-06-05,TKO,Clothing,806.54,M,53,Cash
INV00057,C00313,P00271,2024-07-24,MK,Toys,108.14,F,22,Mobile Payment
INV00057,C00313,P00387,2024-07-24,MK,Books,197.4,F,22,Mobile Payment
INV00057,C00313,P00015,2024-07-24,MK,Groceries,272.09,F,22,Mobile Payment
INV00058,C00683,P00486,2024-08-28,MK,Electronics,4178.61,F,40,Mobile Payment
INV00058,C00683,P00316,2024-08-28,MK,Clothing,548.26,F,40,Mobile Payment
INV00058,C00683,P00352,2024-08-28,MK,Groceries,56.77,F,40,Mobile Payment
INV00058,C00683,P00317,2024-08-28,MK,Clothing,806.54,F,40,Mobile Payment
INV00059,C00408,P00293,2024-06-18,CYB,Books,549.13,F,42,Mobile Payment
INV00059,C00408,P00173,2024-06-18,CYB,Electronics,3152.4,F,42,Mobile Payment
INV00059,C00408,P00074,2024-06-18,CYB,Electronics,1361.52,F,42,Mobile Payment
INV00059,C00408,P00244,2024-06-18,CYB,Groceries,190.75,F,42,Mobile Payment
INV00059,C00408,P00225,2024-06-18,CYB,Electronics,2307.01,F,42,Mobile Payment
INV00060,C00387,P00408,2025-03-06,ST,Books,547.16,F,55,Mobile Payment
INV00060,C00387,P00190,2025-03-06,ST,Books,522.71,F,55,Mobile Payment
INV00060,C00387,P00149,2025-03-06,ST,Toys,97.2,F,55,Mobile Payment
INV00060,C00387,P00457,2025-03-06,ST,Clothing,812.17,F,55,Mobile Payment
INV00060,C00387,P00264,2025-03-06,ST,Clothing,595.5,F,55,Mobile Payment
INV00061,C00350,P00270,2025-05-11,MK,Electronics,1546.75,F,32,Mobile Payment
INV00061,C00350,P00442,2025-05-11,MK,Toys,129.62,F,32,Mobile Payment
INV00061,C00350,P00399,2025-05-11,MK,Groceries,58.82,F,32,Mobile Payment
INV00062,C00233,P00487,2025-10-09,CYB,Books,140.53,M,55,Credit Card
INV00063,C00804,P00333,2025-11-22,TKO,Clothing,915.81,F,35,Credit Card
INV00063,C00804,P00514,2025-11-22,TKO,Electronics,2469.68,F,35,Credit Card
INV00063,C00804,P00444,2025-11-22,TKO,Electronics,1535.83,F,35,Credit Card
INV00063,C00804,P00317,2025-11-22,TKO,Clothing,806.54,F,35,Credit Card
INV00064,C00984,P00401,2025-08-30,MK,Books,214.33,M,53,Credit Card
INV00064,C00984,P00083,2025-08-30,MK,Groceries,80.69,M,53,Credit Card
INV00064,C00984,P00267,2025-08-30,MK,Groceries,156.44,M,53,Credit Card
INV00064,C00984,P00135,2025-08-30,MK,Books,382.28,M,53,Credit Card
INV00065,C00056,P00269,2024-08-18,TKO,Electronics,3003.27,F,48,Credit Card
INV00065,C00056,P00456,2024-08-18,TKO,Electronics,2651.34,F,48,Credit Card
INV00065,C00056,P00019,2024-08-18,TKO,Electronics,1347.11,F,48,Credit Card
INV00065,C00056,P00253,2024-08-18,TKO,Toys,125.52,F,48,Credit Card
INV00066,C00476,P00096,2025-03-27,MK,Books,389.2,F,21,Cash
INV00066,C00476,P00323,2025-03-27,MK,Clothing,335.06,F,21,Cash
INV00067,C00448,P00271,2024-12-15,CYB,Toys,108.14,F,60,Credit Card
INV00067,C00448,P00387,2024-12-15,CYB,Books,197.4,F,60,Credit Card
INV00067,C00448,P00010,2024-12-15,CYB,Electronics,2699.14,F,60,Credit Card
INV00067,C00448,P00052,2024-12-15,CYB,Books,459.47,F,60,Credit Card
INV00068,C00065,P00270,2024-04-19,ST,Electronics,1546.75,M,57,Credit Card
INV00068,C00065,P00442,2024-04-19,ST,Toys,129.62,M,57,Credit Card
INV00068,C00065,P00253,2024-04-19,ST,Toys,125.52,M,57,Credit Card
INV00068,C00065,P00059,2024-04-19,ST,Electronics,2513.02,M,57,Credit Card
INV00069,C00217,P00051,2025-04-03,MK,Books,562.38,F,23,Mobile Payment
INV00069,C00217,P00094,2025-04-03,MK,Toys,106.69,F,23,Mobile Payment
INV00069,C00217,P00154,2025-04-03,MK,Toys,142.5,F,23,Mobile Payment
INV00070,C00362,P00522,2025-10-28,TKO,Clothing,515.52,F,28,Cash
INV00070,C00362,P00415,2025-10-28,TKO,Books,120.4,F,28,Cash
INV00070,C00362,P00243,2025-10-28,TKO,Books,583.76,F,28,Cash
INV00070,C00362,P00429,2025-10-28,TKO,Clothing,272.96,F,28,Cash
INV00071,C00039,P00188,2025-10-09,CYB,Electronics,1426.94,M,30,Mobile Payment
INV00071,C00039,P00460,2025-10-09,CYB,Clothing,374.97,M,30,Mobile Payment
INV00071,C00039,P00084,2025-10-09,CYB,Toys,144.22,M,30,Mobile Payment
INV00072,C01037,P00346,2024-03-20,CYB,Groceries,122.38,M,35,Mobile Payment
INV00072,C01037,P00159,2024-03-20,CYB,Clothing,656.97,M,35,Mobile Payment
INV00072,C01037,P00472,2024-03-20,CYB,Groceries,189.87,M,35,Mobile Payment
INV00072,C01037,P00279,2024-03-20,CYB,Books,558.78,M,35,Mobile Payment
INV00073,C00755,P00193,2025-02-11,MK,Electronics,2641.9,F,53,Credit Card
INV00073,C00755,P00292,2025-02-11,MK,Electronics,3041.86,F,53,Credit Card
INV00073,C00755,P00197,2025-02-11,MK,Electronics,4336.75,F,53,Credit Card
INV00074,C00438,P00453,2025-12-13,ST,Groceries,254.68,F,59,Mobile Payment
INV00075,C00812,P00069,2025-12-18,ST,Toys,99.61,F,56,Credit Card
INV00075,C00812,P00442,2025-12-18,ST,Toys,129.62,F,56,Credit Card
INV00075,C00812,P00158,2025-12-18,ST,Electronics,3576.45,F,56,Credit Card
INV00075,C00812,P00027,2025-12-18,ST,Books,477.69,F,56,Credit Card
INV00076,C00070,P00158,2025-12-05,ST,Electronics,3576.45,F,56,Cash
INV00076,C00070,P00469,2025-12-05,ST,Clothing,719.92,F,56,Cash
INV00077,C00615,P00059,2025-08-04,MK,Electronics,2513.02,F,47,Cash
INV00077,C00615,P00324,2025-08-04,MK,Electronics,2466.65,F,47,Cash
INV00077,C00615,P00492,2025-08-04,MK,Electronics,1546.45,F,47,Cash
INV00077,C00615,P00296,2025-08-04,MK,Electronics,4537.01,F,47,Cash
INV00078,C00076,P00148,2024-03-13,ST,Electronics,5029.06,M,36,Cash
INV00078,C00076,P00420,2024-03-13,ST,Toys,133.61,M,36,Cash
INV00078,C00076,P00108,2024-03-13,ST,Toys,101.74,M,36,Cash
INV00079,C00602,P00270,2024-12-23,CYB,Electronics,1546.75,F,25,Cash
INV00079,C00602,P00442,2024-12-23,CYB,Toys,129.62,F,25,Cash
INV00079,C00602,P00399,2024-12-23,CYB,Groceries,58.82,F,25,Cash
INV00079,C00602,P00278,2024-12-23,CYB,Clothing,876.51,F,25,Cash
INV00080,C00108,P00271,2025-02-17,TKO,Toys,108.14,F,35,Cash
INV00080,C00108,P00387,2025-02-17,TKO,Books,197.4,F,35,Cash
INV00081,C01115,P00206,2025-10-20,TKO,Toys,116.79,M,21,Credit Card
INV00082,C00646,P00421,2025-10-20,ST,Electronics,2837.46,M,20,Cash
INV00083,C00809,P00441,2025-07-26,CYB,Electronics,4894.68,F,47,Credit Card
INV00083,C00809,P00176,2025-07-26,CYB,Clothing,623.48,F,47,Credit Card
INV00084,C00189,P00357,2025-10-25,ST,Toys,99.07,F,33,Credit Card
INV00084,C00189,P00419,2025-10-25,ST,Clothing,839.84,F,33,Credit Card
INV00084,C00189,P00374,2025-10-25,ST,Books,116.89,F,33,Credit Card
INV00084,C00189,P00355,2025-10-25,ST,Books,236.37,F,33,Credit Card
INV00085,C00984,P00238,2024-08-22,CYB,Books,486.5,M,53,Credit Card
INV00085,C00984,P00374,2024-08-22,CYB,Books,116.89,M,53,Credit Card
INV00086,C00829,P00160,2024-09-24,ST,Toys,120.34,M,28,Credit Card
INV00086,C00829,P00296,2024-09-24,ST,Electronics,4537.01,M,28,Credit Card
INV00086,C00829,P00430,2024-09-24,ST,Electronics,4225.91,M,28,Credit Card
INV00087,C01138,P00452,2025-09-14,MK,Clothing,916.11,F,18,Credit Card
INV00087,C01138,P00302,2025-09-14,MK,Toys,101.58,F,18,Credit Card
INV00087,C01138,P00031,2025-09-14,MK,Clothing,614.63,F,18,Credit Card
INV00088,C01101,P00325,2025-01-28,ST,Clothing,338.45,F,31,Mobile Payment
INV00088,C01101,P00086,2025-01-28,ST,Electronics,5255.7,F,31,Mobile Payment
INV00088,C01101,P00231,2025-01-28,ST,Groceries,67.77,F,31,Mobile Payment
INV00089,C00134,P00236,2025-04-14,CYB,Books,114.27,F,26,Credit Card
INV00089,C00134,P00229,2025-04-14,CYB,Toys,138.76,F,26,Credit Card
INV00089,C00134,P00476,2025-04-14,CYB,Toys,138.66,F,26,Credit Card
INV00089,C00134,P00488,2025-04-14,CYB,Books,74.38,F,26,Credit Card
INV00090,C00615,P00356,2024-03-05,CYB,Books,103.72,F,47,Cash
INV00090,C00615,P00343,2024-03-05,CYB,Clothing,188.83,F,47,Cash
INV00091,C00604,P00164,2025-03-26,CYB,Electronics,2410.33,M,56,Cash
INV00091,C00604,P00531,2025-03-26,CYB,Toys,100.56,M,56,Cash
INV00091,C00604,P00534,2025-03-26,CYB,Books,293.9,M,56,Cash
INV00092,C00839,P00428,2024-03-14,TKO,Electronics,2333.01,M,52,Credit Card
INV00093,C00655,P00502,2024-05-28,CYB,Electronics,4341.91,M,43,Mobile Payment
INV00094,C00228,P00271,2024-03-29,CYB,Toys,108.14,M,50,Credit Card
INV00094,C00228,P00387,2024-03-29,CYB,Books,197.4,M,50,Credit Card
INV00094,C00228,P00082,2024-03-29,CYB,Electronics,1703.39,M,50,Credit Card
INV00094,C00228,P00354,2024-03-29,CYB,Electronics,1532.38,M,50,Credit Card
INV00095,C00402,P00339,2024-02-05,MK,Toys,140.62,F,42,Cash
INV00095,C00402,P00468,2024-02-05,MK,Electronics,2358.98,F,42,Cash
INV00095,C00402,P00281,2024-02-05,MK,Clothing,401.69,F,42,Cash
INV00095,C00402,P00367,2024-02-05,MK,Toys,137.24,F,42,Cash
INV00095,C00402,P00353,2024-02-05,MK,Books,278.6,F,42,Cash
INV00096,C00297,P00292,2024-03-09,CYB,Electronics,3041.86,M,42,Cash
INV00096,C00297,P00485,2024-03-09,CYB,Books,113.42,M,42,Cash
INV00096,C00297,P00305,2024-03-09,CYB,Books,582.03,M,42,Cash
INV00097,C00351,P00214,2024-10-28,CYB,Electronics,1984.29,M,44,Cash
INV00097,C00351,P00435,2024-10-28,CYB,Toys,97.94,M,44,Cash
INV00097,C00351,P00050,2024-10-28,CYB,Books,458.19,M,44,Cash
INV00097,C00351,P00444,2024-10-28,CYB,Electronics,1535.83,M,44,Cash
INV00097,C00351,P00166,2024-10-28,CYB,Groceries,114.31,M,44,Cash
INV00098,C01117,P00206,2024-10-16,TKO,Toys,116.79,M,57,Cash
INV00098,C01117,P00336,2024-10-16,TKO,Electronics,3584.61,M,57,Cash
INV00098,C01117,P00363,2024-10-16,TKO,Books,473.64,M,57,Cash
INV00099,C00129,P00381,2025-06-21,TKO,Groceries,281.01,F,25,Credit Card
INV00099,C00129,P00280,2025-06-21,TKO,Clothing,844.94,F,25,Credit Card
INV00099,C00129,P00510,2025-06-21,TKO,Clothing,235.19,F,25,Credit Card
INV00099,C00129,P00450,2025-06-21,TKO,Electronics,2961.58,F,25,Credit Card
INV00100,C00759,P00036,2025-02-01,TKO,Toys,147.22,F,38,Cash
INV00100,C00759,P00197,2025-02-01,TKO,Electronics,4336.75,F,38,Cash
INV00100,C00759,P00084,2025-02-01,TKO,Toys,144.22,F,38,Cash
INV00101,C00874,P00520,2025-11-24,ST,Books,439.37,M,47,Credit Card
INV00101,C00874,P00354,2025-11-24,ST,Electronics,1532.38,M,47,Credit Card
INV00101,C00874,P00491,2025-11-24,ST,Electronics,2359.5,M,47,Credit Card
INV00102,C01075,P00095,2025-01-05,MK,Toys,105.53,F,23,Credit Card
INV00102,C01075,P00296,2025-01-05,MK,Electronics,4537.01,F,23,Credit Card
INV00103,C00659,P00270,2024-06-16,TKO,Electronics,1546.75,M,52,Cash
INV00103,C00659,P00442,2024-06-16,TKO,Toys,129.62,M,52,Cash
INV00104,C00411,P00059,2025-06-26,CYB,Electronics,2513.02,M,40,Mobile Payment
INV00104,C00411,P00306,2025-06-26,CYB,Groceries,181.8,M,40,Mobile Payment
INV00105,C00206,P00271,2024-06-18,CYB,Toys,108.14,F,30,Cash
INV00105,C00206,P00387,2024-06-18,CYB,Books,197.4,F,30,Cash
INV00105,C00206,P00245,2024-06-18,CYB,Electronics,4281.2,F,30,Cash
INV00106,C01068,P00253,2025-07-15,MK,Toys,125.52,M,41,Credit Card
INV00107,C00589,P00368,2024-05-16,MK,Clothing,618.82,F,55,Cash
INV00107,C00589,P00072,2024-05-16,MK,Electronics,1461.85,F,55,Cash
INV00107,C00589,P00160,2024-05-16,MK,Toys,120.34,F,55,Cash
INV00107,C00589,P00262,2024-05-16,MK,Books,343.05,F,55,Cash
INV00107,C00589,P00201,2024-05-16,MK,Books,557.08,F,55,Cash
