Customer id,Monetary,Frequency,Recency,Monetary_log,R_score,F_score,M_score,RFM_score,RFM_numeric,segment,cluster
C00046,5105.889999999999,3,71,8.538345887351644,4,2,2,422,422,New / Promising,0
C00047,16154.56,4,629,9.690019541848462,1,3,4,134,134,Other,1
C00048,7146.389999999999,5,449,8.874502534081538,1,4,2,142,142,Frequent but at risk,1
C00049,39785.34,6,5,10.591278916280007,5,5,5,555,555,Champions,0
C00050,5151.26,1,391,8.54719073234934,1,1,2,112,112,At Risk / Churn,1
C00051,5171.650000000001,2,509,8.551140408715895,1,1,2,112,112,At Risk / Churn,1
C00052,12787.1,3,86,9.45627032998025,4,2,3,423,423,New / Promising,0
C00053,3170.27,2,71,8.061887417555015,4,1,1,411,411,New / Promising,1
C00054,5889.42,3,125,8.681082581403897,3,2,2,322,322,Other,0
C00055,21239.71,3,123,9.96367490229248,3,2,5,325,325,Other,0
C00056,34477.49,9,46,10.448090930315185,4,5,5,455,455,Champions,0
C00057,481.8,1,272,6.1796024892233765,2,1,1,211,211,At Risk / Churn,1
C00058,4059.1499999999996,2,238,8.308975197726106,2,1,1,211,211,At Risk / Churn,1
C00059,12533.37,5,14,9.436229750055322,5,4,3,543,543,Loyal,0
C00060,18160.239999999998,2,15,9.807044931762505,5,1,4,514,514,New / Promising,0
C00061,23155.879999999997,5,168,10.050047207586141,3,4,5,345,345,Loyal,0
C00062,5168.95,2,124,8.550618296275825,3,1,2,312,312,Other,1
C00063,16204.4,6,89,9.693099799010596,4,5,4,454,454,Champions,0
C00064,30595.85,7,147,10.328652341465196,3,5,5,355,355,Loyal,0
C00065,15268.2,4,622,9.633593006532465,1,3,4,134,134,Other,1
C00066,17776.88,7,5,9.785710266863214,5,5,4,554,554,Champions,0
C00067,3978.49,3,52,8.288908949364245,4,2,1,421,421,New / Promising,1
C00068,27155.36,8,84,10.20936655207251,4,5,5,455,455,Champions,0
C00069,6090.04,4,114,8.714574117881085,3,3,2,332,332,Other,0
C00070,11769.97,4,27,9.373391609772753,5,3,3,533,533,Loyal,0
C00071,6456.63,4,5,8.773017656397245,5,3,2,532,532,Other,0
C00072,21191.63,5,232,9.961408758709352,2,4,5,245,245,Frequent but at risk,0
C00073,14056.33,3,243,9.550899246904544,2,2,4,224,224,Other,0
C00075,15993.51,6,22,9.680000817341066,5,5,4,554,554,Champions,0
C00076,24141.39,7,41,10.091724495550274,5,5,5,555,555,Champions,0
C00077,4728.08,2,201,8.461485959396537,2,1,1,211,211,At Risk / Churn,1
C00078,3397.89,3,5,8.131204186712893,5,2,1,521,521,New / Promising,1
C00079,21353.21,8,63,9.969004188912988,4,5,5,455,455,Champions,0
C00080,2753.7999999999997,3,62,7.921100123670543,4,2,1,421,421,New / Promising,1
C00081,36878.82,9,99,10.515419796964476,4,5,5,455,455,Champions,0
C00082,11961.79,4,178,9.389556277891609,2,3,3,233,233,Other,0
C00083,4684.17,1,313,8.452157480033412,1,1,1,111,111,At Risk / Churn,1
C00084,5981.62,4,38,8.69661387808533,5,3,2,532,532,Other,0
C00085,8554.83,2,30,9.054368200907193,5,1,2,512,512,New / Promising,0
C00086,13358.23,4,145,9.499962810699152,3,3,3,333,333,Loyal,0
C00087,1602.3400000000001,1,511,7.379844232427211,1,1,1,111,111,At Risk / Churn,1
C00088,13805.23,4,289,9.532875218548094,1,3,4,134,134,Other,0
C00089,9984.210000000001,2,244,9.208860277176077,2,1,3,213,213,Other,1
C00090,12016.07,2,457,9.39408341797547,1,1,3,113,113,Other,1
C00091,6340.76,3,151,8.75491161143048,3,2,2,322,322,Other,0
C00092,21522.2,7,10,9.976886702105896,5,5,5,555,555,Champions,0
C00093,26427.42,3,11,10.182195225259004,5,2,5,525,525,New / Promising,0
C00094,29417.059999999998,6,101,10.28936405044482,3,5,5,355,355,Loyal,0
C00095,4976.58,5,14,8.512699108134658,5,4,2,542,542,Other,0
C00096,14024.54,4,154,9.548635232323486,3,3,4,334,334,Loyal,0
C00097,3575.35,2,58,8.182098006224345,4,1,1,411,411,New / Promising,1
C00098,7704.02,5,82,8.949627343467915,4,4,2,442,442,Other,0
C00099,7631.669999999999,3,109,8.940192997534917,3,2,2,322,322,Other,0
C00100,6188.23,4,105,8.730565963756876,3,3,2,332,332,Other,0
C00101,16510.95,5,64,9.71183964017593,4,4,4,444,444,Champions,0
C00102,23700.710000000003,5,73,10.073302476419133,4,4,5,445,445,Champions,0
C00103,12741.47,2,127,9.452695787885352,3,1,3,313,313,Other,0
C00104,16764.82,4,103,9.72709756912681,3,3,4,334,334,Loyal,0
C00105,5518.86,3,334,8.616107776630672,1,2,2,122,122,At Risk / Churn,1
C00106,12888.470000000001,3,54,9.464165977942827,4,2,3,423,423,New / Promising,0
C00107,4374.14,5,70,8.383693798279726,4,4,1,441,441,Other,0
C00108,305.54,1,318,5.725348252570762,1,1,1,111,111,At Risk / Churn,1
C00109,2603.53,2,105,7.865007515644537,3,1,1,311,311,Other,1
C00111,14414.130000000001,2,43,9.576033628415466,5,1,4,514,514,New / Promising,0
C00112,16538.79,5,82,9.713524272003731,4,4,4,444,444,Champions,0
C00114,5790.34,3,290,8.664118977296484,1,2,2,122,122,At Risk / Churn,1
C00115,3365.67,1,540,8.12167940425976,1,1,1,111,111,At Risk / Churn,1
C00116,2266.15,1,19,7.726278815058792,5,1,1,511,511,New / Promising,1
C00117,13607.36,5,33,9.518439588752225,5,4,4,544,544,Champions,0
C00118,18880.54,5,22,9.84594000416963,5,4,4,544,544,Champions,0
C00119,20040.39,5,198,9.905554914070864,2,4,5,245,245,Frequent but at risk,0
C00121,13179.41,3,237,9.48648691531166,2,2,3,223,223,Other,0
C00122,1071.38,1,139,6.977635756430343,3,1,1,311,311,Other,1
C00123,1799.99,2,275,7.4960917926896915,2,1,1,211,211,At Risk / Churn,1
C00124,9268.88,4,25,9.134525713492295,5,3,3,533,533,Loyal,0
C00125,6546.3,5,10,8.786808029905401,5,4,2,542,542,Other,0
C00126,10523.52,4,200,9.261463051809898,2,3,3,233,233,Other,0
C00127,13009.74,3,32,9.47353044921258,5,2,3,523,523,New / Promising,0
C00128,7292.12,2,90,8.894686716982967,4,1,2,412,412,New / Promising,0
C00129,6505.400000000001,3,150,8.780541586852566,3,2,2,322,322,Other,0
C00130,3473.06,2,453,8.153079217809074,1,1,1,111,111,At Risk / Churn,1
C00131,14399.16,3,75,9.574994596613475,4,2,4,424,424,New / Promising,0
C00132,19344.5,6,56,9.870215113272556,4,5,5,455,455,Champions,0
C00133,13002.59,3,104,9.472980752166373,3,2,3,323,323,Other,0
C00134,14329.31,6,262,9.57013215352612,2,5,4,254,254,Frequent but at risk,0
C00135,10555.96,4,77,9.264540637027322,4,3,3,433,433,Loyal,0
C00136,11057.64,3,465,9.310967301873479,1,2,3,123,123,Other,1
C00137,9638.9,3,347,9.173666014106804,1,2,3,123,123,Other,1
C00138,1488.96,1,464,7.30650455294157,1,1,1,111,111,At Risk / Churn,1
C00139,19122.27,5,73,9.85866119708687,4,4,4,444,444,Champions,0
C00140,8815.68,3,152,9.084400660904526,3,2,3,323,323,Other,0
C00141,9267.13,3,33,9.134336912212632,5,2,3,523,523,New / Promising,0
C00142,12886.55,5,39,9.464017008046108,5,4,3,543,543,Loyal,0
C00143,7436.42,1,546,8.914279293493514,1,1,2,112,112,At Risk / Churn,1
C00144,18242.47,5,35,9.811562486762824,5,4,4,544,544,Champions,0
C00145,4604.35,2,113,8.434973950144329,3,1,1,311,311,Other,1
C00146,802.18,1,61,6.688578848229038,4,1,1,411,411,New / Promising,1
C00147,25268.66,2,399,10.13735974560237,1,1,5,115,115,Other,0
C00148,2504.63,2,18,7.826295478904883,5,1,1,511,511,New / Promising,1
C00149,12041.07,5,6,9.396161630995374,5,4,3,543,543,Loyal,0
C00150,25309.050000000003,5,103,10.138956829040971,3,4,5,345,345,Loyal,0
C00151,6507.69,3,100,8.780893486074719,3,2,2,322,322,Other,0
C00152,9019.33,3,287,9.107236197753295,2,2,3,223,223,Other,1
C00153,8747.08,4,23,9.07658952670226,5,3,2,532,532,Other,0
C00154,14737.9,3,98,9.598245536092932,4,2,4,424,424,New / Promising,0
C00155,3612.72,2,85,8.192492991670361,4,1,1,411,411,New / Promising,1
C00156,622.49,1,329,6.435332726499092,1,1,1,111,111,At Risk / Churn,1
C00157,6884.650000000001,2,163,8.837194814840212,3,1,2,312,312,Other,1
C00158,2300.02,3,33,7.74110778187069,5,2,1,521,521,New / Promising,1
C00159,7108.04,2,503,8.86912249258407,1,1,2,112,112,At Risk / Churn,1
C00160,11402.619999999999,3,33,9.341686127835855,5,2,3,523,523,New / Promising,0
C00161,14181.6,4,86,9.559771140118928,4,3,4,434,434,Loyal,0
C00162,13577.88,10,24,9.516270923484697,5,5,4,554,554,Champions,0
C00163,10031.539999999999,3,89,9.213589089175237,4,2,3,423,423,New / Promising,0
C00164,12875.16,5,225,9.463132818560817,2,4,3,243,243,Frequent but at risk,0
C00165,16423.26,2,224,9.706514789065432,2,1,4,214,214,Other,0
C00166,9807.17,3,40,9.190970990815341,5,2,3,523,523,New / Promising,0
C00167,1941.69,1,158,7.571828889556324,3,1,1,311,311,Other,1
C00168,15408.27,5,138,9.642724555355612,3,4,4,344,344,Loyal,0
C00169,10405.02,2,303,9.250139763816497,1,1,3,113,113,Other,1
C00170,7800.99,3,105,8.962134108343145,3,2,2,322,322,Other,0
C00171,3206.77,3,52,8.073331270655542,4,2,1,421,421,New / Promising,1
C00172,30617.32,6,146,10.329353801605887,3,5,5,355,355,Loyal,0
C00173,14527.07,4,94,9.583837919111405,4,3,4,434,434,Loyal,0
C00174,24891.57,6,97,10.12232464435028,4,5,5,455,455,Champions,0
C00175,8963.33,2,59,9.101008648165559,4,1,3,413,413,New / Promising,0
C00176,9309.619999999999,3,273,9.138910963112837,2,2,3,223,223,Other,1
C00177,7267.16,3,59,8.891258443583052,4,2,2,422,422,New / Promising,0
C00178,10253.539999999999,3,598,9.23547581333269,1,2,3,123,123,Other,1
C00179,22680.14,5,218,10.029289021128733,2,4,5,245,245,Frequent but at risk,0
C00180,6374.4,3,339,8.760202113156275,1,2,2,122,122,At Risk / Churn,1
C00181,6511.68,4,475,8.781506324835139,1,3,2,132,132,Other,1
C00182,7204.27,2,515,8.882567981707895,1,1,2,112,112,At Risk / Churn,1
C00183,9514.92,5,44,9.160721464493857,5,4,3,543,543,Loyal,0
C00184,2317.9700000000003,2,165,7.748878400561245,3,1,1,311,311,Other,1
C00185,9131.81,3,332,9.119628702796312,1,2,3,123,123,Other,1
C00186,11843.43,4,114,9.379612993864724,3,3,3,333,333,Loyal,0
C00187,11295.09,3,76,9.33221192712338,4,2,3,423,423,New / Promising,0
C00188,18555.82,5,64,9.828592655453571,4,4,4,444,444,Champions,0
C00189,13805.35,3,68,9.53288391023862,4,2,4,424,424,New / Promising,0
C00190,14040.11,2,375,9.549744734283799,1,1,4,114,114,Other,1
C00191,11079.49,2,572,9.312941183150144,1,1,3,113,113,Other,1
C00192,20404.34,12,16,9.923551910283788,5,5,5,555,555,Champions,0
C00193,17845.69,4,219,9.789573335839073,2,3,4,234,234,Other,0
C00194,27218.44,5,89,10.21168670288582,4,4,5,445,445,Champions,0
C00195,17838.379999999997,5,161,9.78916365216686,3,4,4,344,344,Loyal,0
C00196,2624.59,2,148,7.873060911675314,3,1,1,311,311,Other,1
C00198,18157.28,6,88,9.806881934013274,4,5,4,454,454,Champions,0
C00199,14249.23,5,12,9.56452832591742,5,4,4,544,544,Champions,0
C00200,12484.65,4,84,9.43233526383364,4,3,3,433,433,Loyal,0
C00201,28997.440000000002,4,17,10.274997314418261,5,3,5,535,535,Loyal,0
C00202,13334.689999999999,3,283,9.498199178809523,2,2,3,223,223,Other,0
C00204,584.52,2,13,6.372500341292971,5,1,1,511,511,New / Promising,1
C00205,12683.880000000001,2,113,9.44816601199652,3,1,3,313,313,Other,0
C00206,4586.74,1,562,8.431142807070682,1,1,1,111,111,At Risk / Churn,1
C00207,16651.09,6,240,9.720291013056446,2,5,4,254,254,Frequent but at risk,0
C00208,16471.47,4,299,9.709445781569137,1,3,4,134,134,Other,0
C00209,14052.3,5,366,9.550612522627812,1,4,4,144,144,Frequent but at risk,0
C00210,13725.300000000001,5,227,9.527068979560784,2,4,4,244,244,Frequent but at risk,0
C00211,2758.06,2,444,7.922645320990609,1,1,1,111,111,At Risk / Churn,1
C00212,4307.53,2,332,8.368352057635736,1,1,1,111,111,At Risk / Churn,1
C00213,15093.79,7,166,9.622104930152814,3,5,4,354,354,Loyal,0
C00214,19432.93,4,269,9.874775786458144,2,3,5,235,235,Other,0
C00215,37624.3,9,146,10.535431975441316,3,5,5,355,355,Loyal,0
C00216,812.17,1,147,6.700940189780036,3,1,1,311,311,Other,1
C00217,1200.77,2,31,7.091550749032092,5,1,1,511,511,New / Promising,1
C00218,37044.15,6,50,10.519892717971997,4,5,5,455,455,Champions,0
C00219,14719.15,5,99,9.59697258244834,4,4,4,444,444,Champions,0
C00220,1430.8,2,347,7.266687672962084,1,1,1,111,111,At Risk / Churn,1
C00221,11828.67,6,129,9.378366061401612,3,5,3,353,353,Loyal,0
C00222,2847.38,1,84,7.954505690597572,4,1,1,411,411,New / Promising,1
C00223,17606.62,6,9,9.776087041873922,5,5,4,554,554,Champions,0
C00224,11777.48,3,511,9.374029416622134,1,2,3,123,123,Other,1
C00225,4076.14,1,154,8.31315104120442,3,1,1,311,311,Other,1
C00226,8902.1,3,266,9.094154809679523,2,2,3,223,223,Other,1
C00227,6128.72,2,86,8.720904350888663,4,1,2,412,412,New / Promising,0
C00228,14190.04,4,151,9.560366058518467,3,3,4,334,334,Loyal,0
C00229,18017.78,5,200,9.799169826317689,2,4,4,244,244,Frequent but at risk,0
C00230,17401.32,3,203,9.764358809647854,2,2,4,224,224,Other,0
C00231,23024.97,6,46,10.04437798835775,4,5,5,455,455,Champions,0
C00232,12131.86,3,59,9.403672753206763,4,2,3,423,423,New / Promising,0
C00233,20612.45,8,36,9.933699054344318,5,5,5,555,555,Champions,0
C00234,11303.99,3,180,9.332999500147327,2,2,3,223,223,Other,0
C00236,18216.31,4,199,9.810127519958005,2,3,4,234,234,Other,0
C00237,13459.6,3,50,9.507522178728246,4,2,4,424,424,New / Promising,0
C00238,14142.089999999998,3,291,9.556981444572337,1,2,4,124,124,Other,0
C00239,8678.54,2,7,9.068723810858385,5,1,2,512,512,New / Promising,0
C00240,16052.279999999999,3,5,9.683668469049937,5,2,4,524,524,New / Promising,0
C00241,10725.41,5,88,9.280464203686456,4,4,3,443,443,Loyal,0
C00242,15775.07,4,211,9.666249513952248,2,3,4,234,234,Other,0
C00243,16182.609999999999,4,18,9.69175428068278,5,3,4,534,534,Loyal,0
C00244,2485.13,2,378,7.818482563543337,1,1,1,111,111,At Risk / Churn,1
C00245,1150.85,1,553,7.049124624444662,1,1,1,111,111,At Risk / Churn,1
C00246,6526.29,2,566,8.783747128473998,1,1,2,112,112,At Risk / Churn,1
C00247,9415.09,4,73,9.150175207093245,4,3,3,433,433,Loyal,0
C00248,13970.76,5,241,9.544793428567626,2,4,4,244,244,Frequent but at risk,0
C00250,13758.82,6,13,9.529508030006424,5,5,4,554,554,Champions,0
C00251,6348.58,3,15,8.756143947966994,5,2,2,522,522,New / Promising,0
C00252,7253.73,4,25,8.889408948912465,5,3,2,532,532,Other,0
C00253,21453.85,7,77,9.973706006023884,4,5,5,455,455,Champions,0
C00254,10376.9,3,179,9.24743382411329,2,2,3,223,223,Other,0
C00255,8154.469999999999,2,374,9.006444146748146,1,1,2,112,112,At Risk / Churn,1
C00256,898.14,1,569,6.801438750934501,1,1,1,111,111,At Risk / Churn,1
C00257,7516.29,7,92,8.924960979653743,4,5,2,452,452,Other,0
C00258,16698.489999999998,6,176,9.723133459016369,2,5,4,254,254,Frequent but at risk,0
C00260,11185.779999999999,2,339,9.322488002970175,1,1,3,113,113,Other,1
C00261,4485.63,3,386,8.408857142134659,1,2,1,121,121,At Risk / Churn,1
C00262,37044.48,6,67,10.519901625981012,4,5,5,455,455,Champions,0
C00263,34106.2,6,64,10.43726378467893,4,5,5,455,455,Champions,0
C00264,14423.939999999999,4,92,9.576713931922242,4,3,4,434,434,Loyal,0
C00265,20961.22,5,49,9.950477048856806,4,4,5,445,445,Champions,0
C00266,8218.39,2,134,9.01425127605084,3,1,2,312,312,Other,0
C00267,595.4399999999999,1,48,6.390978649722706,4,1,1,411,411,New / Promising,1
C00268,18928.94,4,78,9.848500074626237,4,3,4,434,434,Loyal,0
C00269,31378.28,4,7,10.353903081473124,5,3,5,535,535,Loyal,0
C00270,14999.95,5,37,9.61586881141221,5,4,4,544,544,Champions,0
C00271,11600.77,5,258,9.358912951661262,2,4,3,243,243,Frequent but at risk,0
C00272,24628.68,6,66,10.111707498744353,4,5,5,455,455,Champions,0
C00273,11512.38,5,77,9.351265116295915,4,4,3,443,443,Loyal,0
C00274,7890.219999999999,3,306,8.973506027995533,1,2,2,122,122,At Risk / Churn,1
C00275,8083.56,5,144,8.997711348761582,3,4,2,342,342,Other,0
C00276,24994.78,5,39,10.126462289602014,5,4,5,545,545,Champions,0
C00277,1327.61,1,293,7.191888561922671,1,1,1,111,111,At Risk / Churn,1
C00278,6372.18,2,90,8.759853839070464,4,1,2,412,412,New / Promising,0
C00279,19661.46,3,22,9.886466513035156,5,2,5,525,525,New / Promising,0
C00280,26810.4,10,270,10.196582449187773,2,5,5,255,255,Frequent but at risk,0
C00281,15842.84,6,142,9.670536060230832,3,5,4,354,354,Loyal,0
C00282,9096.4,2,88,9.115743937395125,4,1,3,413,413,New / Promising,0
C00283,17119.63,4,248,9.748039448084084,2,3,4,234,234,Other,0
C00284,12750.46,3,79,9.453401053834746,4,2,3,423,423,New / Promising,0
C00285,5676.4,2,257,8.644248660438423,2,1,2,212,212,At Risk / Churn,1
C00286,10375.84,2,580,9.247331678771944,1,1,3,113,113,Other,1
C00287,13046.84,3,616,9.47637788180997,1,2,3,123,123,Other,1
C00288,5102.39,3,91,8.537660303775663,4,2,2,422,422,New / Promising,0
C00289,13325.05,5,39,9.497476045179079,5,4,3,543,543,Loyal,0
C00291,14018.91,4,124,9.54823374116712,3,3,4,334,334,Loyal,0
C00292,13758.5,4,105,9.52948477361782,3,3,4,334,334,Loyal,0
C00293,5174.21,4,135,8.551635197020381,3,3,2,332,332,Other,0
C00294,6426.3,3,58,8.768309822358763,4,2,2,422,422,New / Promising,0
C00296,110.24,1,651,4.711690029365764,1,1,1,111,111,At Risk / Churn,1
C00297,4550.9400000000005,2,627,8.423308794699965,1,1,1,111,111,At Risk / Churn,1
C00298,34713.659999999996,6,23,10.454917355102252,5,5,5,555,555,Champions,0
C00299,4089.65,3,161,8.316459160615112,3,2,1,321,321,Other,1
C00300,12165.189999999999,5,115,9.4064160720528,3,4,3,343,343,Loyal,0
C00301,8769.15,4,76,9.07910918898279,4,3,2,432,432,Other,0
C00302,984.3299999999999,2,289,6.892976610444328,1,1,1,111,111,At Risk / Churn,1
C00303,4801.7,1,163,8.476933538752158,3,1,1,311,311,Other,1
C00304,15316.24,4,210,9.636734270406459,2,3,4,234,234,Other,0
C00305,7324.6,4,66,8.899130341793523,4,3,2,432,432,Other,0
C00306,14364.19,3,74,9.572563197918331,4,2,4,424,424,New / Promising,0
C00307,20922.39,5,119,9.948622950939944,3,4,5,345,345,Loyal,0
C00308,6648.43,5,83,8.802286415690507,4,4,2,442,442,Other,0
C00309,14159.36,3,69,9.558201790653348,4,2,4,424,424,New / Promising,0
C00310,18154.54,5,96,9.806731027278307,4,4,4,444,444,Champions,0
C00311,15787.33,4,253,9.667026338515143,2,3,4,234,234,Other,0
C00312,7371.67,3,469,8.905535199087538,1,2,2,122,122,At Risk / Churn,1
C00313,3598.95,4,193,8.188675235458861,2,3,1,231,231,Other,1
C00314,15454.18,5,197,9.645699501214667,2,4,4,244,244,Frequent but at risk,0
C00315,8645.73,1,367,9.06493649377072,1,1,2,112,112,At Risk / Churn,1
C00316,12159.980000000001,4,281,9.405987744378052,2,3,3,233,233,Other,0
C00317,13640.09,7,25,9.520841840228117,5,5,4,554,554,Champions,0
C00318,6350.33,1,258,8.756419518774294,2,1,2,212,212,At Risk / Churn,1
C00319,22416.66,6,49,10.017604320081874,4,5,5,455,455,Champions,0
C00320,8835.22,5,121,9.08661446237401,3,4,3,343,343,Loyal,0
C00321,20921.97,5,147,9.948602877509423,3,4,5,345,345,Loyal,0
C00322,8320.06,3,129,9.026544929546228,3,2,2,322,322,Other,0
C00323,6648.089999999999,3,19,8.802235282180902,5,2,2,522,522,New / Promising,0
C00324,35100.54,7,135,10.466000283135369,3,5,5,355,355,Loyal,0
C00325,29687.809999999998,7,60,10.29852548611925,4,5,5,455,455,Champions,0
C00326,4819.79,4,100,8.480693094029379,3,3,1,331,331,Other,0
C00327,20321.2,8,76,9.919469163548428,4,5,5,455,455,Champions,0
C00328,8927.18,2,322,9.096967845708178,1,1,3,113,113,Other,1
C00329,11387.82,3,142,9.340387451425599,3,2,3,323,323,Other,0
C00330,5116.27,3,471,8.540376372705216,1,2,2,122,122,At Risk / Churn,1
C00331,9295.76,4,223,9.13742123134369,2,3,3,233,233,Other,0
C00332,12032.22,4,13,9.395426437325963,5,3,3,533,533,Loyal,0
C00333,9498.07,2,367,9.158949178059787,1,1,3,113,113,Other,1
C00334,42384.14,7,142,10.654553108092378,3,5,5,355,355,Loyal,0
C00335,15435.210000000001,5,190,9.644471327125736,2,4,4,244,244,Frequent but at risk,0
C00336,25478.65,5,123,10.14563537332802,3,4,5,345,345,Loyal,0
C00337,30637.19,7,22,10.330002549002593,5,5,5,555,555,Champions,0
C00338,17067.510000000002,3,151,9.744990524339565,3,2,4,324,324,Other,0
C00339,13833.15,4,34,9.534895451952695,5,3,4,534,534,Loyal,0
C00340,13554.96,3,25,9.51458158199966,5,2,4,524,524,New / Promising,0
C00341,7338.68,4,114,8.901050523927951,3,3,2,332,332,Other,0
C00342,1089.18,2,297,6.9940980992041535,1,1,1,111,111,At Risk / Churn,1
C00343,20408.09,6,104,9.923735668822644,3,5,5,355,355,Loyal,0
C00344,12617.529999999999,3,374,9.442921647535714,1,2,3,123,123,Other,1
C00345,13766.98,4,110,9.530100885246508,3,3,4,334,334,Loyal,0
C00346,14235.08,6,49,9.563534866170349,4,5,4,454,454,Champions,0
C00347,123.3,1,625,4.822697998516666,1,1,1,111,111,At Risk / Churn,1
C00348,20581.91,5,211,9.932216398808995,2,4,5,245,245,Frequent but at risk,0
C00349,8579.79,3,540,9.057281262835478,1,2,2,122,122,At Risk / Churn,1
C00350,15323.140000000001,5,127,9.63718464177463,3,4,4,344,344,Loyal,0
C00351,9844.29,3,169,9.194748447216332,3,2,3,323,323,Other,0
C00352,6512.139999999999,4,217,8.781576953785974,2,3,2,232,232,Other,1
C00353,24913.23,6,17,10.123194405160671,5,5,5,555,555,Champions,0
C00354,14730.56,5,154,9.597747410162643,3,4,4,344,344,Loyal,0
C00355,3611.51,2,127,8.192158100582946,3,1,1,311,311,Other,1
C00356,10725.69,5,2,9.280490307140038,5,4,3,543,543,Loyal,0
C00357,19396.29,6,198,9.872888644572113,2,5,5,255,255,Frequent but at risk,0
C00358,12709.919999999998,3,338,9.450216745513554,1,2,3,123,123,Other,0
C00359,8390.54,3,33,9.03497933446511,5,2,2,522,522,New / Promising,0
C00360,24378.35,5,208,10.101491741482143,2,4,5,245,245,Frequent but at risk,0
C00361,22943.13,4,383,10.040817409352613,1,3,5,135,135,Other,0
C00362,2854.16,2,65,7.956883162551338,4,1,1,411,411,New / Promising,1
C00363,6251.71,2,419,8.740770248753131,1,1,2,112,112,At Risk / Churn,1
C00364,8683.66,2,95,9.069313529952657,4,1,2,412,412,New / Promising,0
C00365,12177.23,4,74,9.407405210506841,4,3,3,433,433,Loyal,0
C00366,10596.27,4,94,9.26835169975938,4,3,3,433,433,Loyal,0
C00367,1830.82,2,264,7.5130652871317976,2,1,1,211,211,At Risk / Churn,1
C00368,5722.49,4,63,8.652334038174336,4,3,2,432,432,Other,0
C00369,3730.95,2,69,8.22468616423547,4,1,1,411,411,New / Promising,1
C00370,5398.54,3,424,8.594069043738717,1,2,2,122,122,At Risk / Churn,1
