Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00058,C00683,"P00486,P00316,P00352,P00317",28/08/2024,MK
INV00059,C00408,"P00293,P00173,P00074,P00244,P00225",18/06/2024,CYB
INV00060,C00387,"P00408,P00190,P00149,P00457,P00264",06/03/2025,ST
INV00061,C00350,"P00270,P00442,P00399",11/05/2025,MK
INV00062,C00233,P00487,09/10/2025,CYB
INV00063,C00804,"P00333,P00514,P00444,P00317",22/11/2025,TKO
INV00064,C00984,"P00401,P00083,P00267,P00135",30/08/2025,MK
INV00065,C00056,"P00269,P00456,P00019,P00253",18/08/2024,TKO
INV00066,C00476,"P00096,P00323",27/03/2025,MK
INV00067,C00448,"P00271,P00387,P00010,P00052",15/12/2024,CYB
INV00068,C00065,"P00270,P00442,P00253,P00059",19/04/2024,ST
INV00069,C00217,"P00051,P00094,P00154",03/04/2025,MK
INV00070,C00362,"P00522,P00415,P00243,P00429",28/10/2025,TKO
INV00071,C00039,"P00188,P00460,P00084",09/10/2025,CYB
INV00072,C01037,"P00346,P00159,P00472,P00279",20/03/2024,CYB
INV00073,C00755,"P00193,P00292,P00197",11/02/2025,MK
INV00074,C00438,P00453,13/12/2025,ST
INV00075,C00812,"P00069,P00442,P00158,P00027",18/12/2025,ST
INV00076,C00070,"P00158,P00469",05/12/2025,ST
INV00077,C00615,"P00059,P00324,P00492,P00296",04/08/2025,MK
INV00078,C00076,"P00148,P00420,P00108",13/03/2024,ST
INV00079,C00602,"P00270,P00442,P00399,P00278",23/12/2024,CYB
INV00080,C00108,"P00271,P00387",17/02/2025,TKO
INV00081,C01115,P00206,20/10/2025,TKO
INV00082,C00646,P00421,20/10/2025,ST
INV00083,C00809,"P00441,P00176",26/07/2025,CYB
INV00084,C00189,"P00357,P00419,P00374,P00355",25/10/2025,ST
INV00085,C00984,"P00238,P00374",22/08/2024,CYB
INV00086,C00829,"P00160,P00296,P00430",24/09/2024,ST
INV00087,C01138,"P00452,P00302,P00031",14/09/2025,MK
INV00088,C01101,"P00325,P00086,P00231",28/01/2025,ST
INV00089,C00134,"P00236,P00229,P00476,P00488",14/04/2025,CYB
INV00090,C00615,"P00356,P00343",05/03/2024,CYB
INV00091,C00604,"P00164,P00531,P00534",26/03/2025,CYB
INV00092,C00839,P00428,14/03/2024,TKO
INV00093,C00655,P00502,28/05/2024,CYB
INV00094,C00228,"P00271,P00387,P00082,P00354",29/03/2024,CYB
INV00095,C00402,"P00339,P00468,P00281,P00367,P00353",05/02/2024,MK
INV00096,C00297,"P00292,P00485,P00305",09/03/2024,CYB
INV00097,C00351,"P00214,P00435,P00050,P00444,P00166",28/10/2024,CYB
INV00098,C01117,"P00206,P00336,P00363",16/10/2024,TKO
INV00099,C00129,"P00381,P00280,P00510,P00450",21/06/2025,TKO
INV00100,C00759,"P00036,P00197,P00084",01/02/2025,TKO
INV00101,C00874,"P00520,P00354,P00491",24/11/2025,ST
INV00102,C01075,"P00095,P00296",05/01/2025,MK
INV00103,C00659,"P00270,P00442",16/06/2024,TKO
INV00104,C00411,"P00059,P00306",26/06/2025,CYB
INV00105,C00206,"P00271,P00387,P00245",18/06/2024,CYB
INV00106,C01068,P00253,15/07/2025,MK
INV00107,C00589,"P00368,P00072,P00160,P00262,P00201",16/05/2024,MK
INV00108,C00750,"P00430,P00024",09/03/2024,ST
INV00109,C00515,"P00146,P00163,P00306",13/03/2025,CYB
INV00110,C00526,"P00258,P00011,P00219,P00301,P00108",30/11/2024,TKO
INV00111,C00867,"P00239,P00257,P00152,P00281,P00130",27/11/2025,MK
INV00112,C00023,P00400,08/09/2025,ST
INV00113,C01169,"P00309,P00250,P00316,P00208",25/10/2025,TKO
INV00114,C00060,"P00438,P00241,P00064,P00109,P00378",17/12/2025,ST
INV00115,C00591,"P00333,P00144,P00345",15/12/2024,CYB
INV00116,C01067,"P00039,P00418,P00073,P00177",09/09/2024,TKO
INV00117,C00487,"P00270,P00442",01/12/2024,CYB
INV00118,C00503,"P00197,P00488,P00280,P00453",25/09/2024,CYB
INV00119,C00587,P00433,06/06/2024,TKO
INV00120,C00117,"P00184,P00311,P00253,P00021",29/11/2025,TKO
INV00121,C00174,"P00418,P00428",18/04/2024,CYB
INV00122,C00630,"P00187,P00117,P00381,P00115",03/10/2024,MK
INV00123,C00383,P00525,14/01/2025,CYB
INV00124,C00550,"P00270,P00442,P00467",04/02/2024,ST
INV00125,C01009,"P00351,P00164",22/05/2024,TKO
INV00126,C00737,P00321,05/04/2024,CYB
INV00127,C00102,"P00016,P00497,P00026,P00425,P00134",08/12/2024,CYB
INV00128,C00932,"P00245,P00348,P00301",12/03/2024,MK
INV00129,C01045,"P00172,P00164,P00074,P00264,P00418",16/04/2024,MK
INV00130,C01075,"P00129,P00445,P00333,P00149",02/07/2024,MK
INV00131,C00590,"P00271,P00387,P00447",23/07/2025,MK
INV00132,C00515,P00432,23/07/2025,MK
INV00133,C00404,"P00270,P00442,P00199,P00118",17/05/2024,TKO
INV00134,C01170,"P00161,P00041,P00073,P00096",27/07/2024,ST
INV00135,C00100,"P00198,P00263,P00217,P00212",16/11/2024,MK
INV00136,C00599,"P00271,P00387,P00529",21/06/2025,CYB
INV00137,C00634,"P00270,P00442",03/07/2025,MK
INV00138,C01102,"P00163,P00348",13/04/2024,MK
INV00139,C00023,P00121,18/03/2024,ST
INV00140,C00773,"P00189,P00073,P00492,P00082",11/09/2024,TKO
INV00141,C01167,P00530,15/02/2025,MK
INV00142,C00951,"P00403,P00220,P00497,P00099",26/10/2024,CYB
INV00143,C01033,"P00237,P00022,P00436,P00318",27/06/2024,ST
INV00144,C00682,"P00115,P00272,P00057",05/05/2024,CYB
INV00145,C00092,"P00421,P00481",20/09/2024,MK
INV00146,C00164,"P00329,P00017",04/03/2025,ST
INV00147,C01120,"P00270,P00442,P00392",03/06/2024,ST
INV00148,C00317,"P00325,P00488",21/03/2024,CYB
INV00149,C00804,"P00397,P00499,P00247,P00385,P00233",11/03/2024,ST
INV00150,C01156,"P00305,P00081,P00008,P00183,P00423",10/02/2024,TKO
INV00151,C01068,"P00405,P00200,P00202,P00317,P00157",10/07/2024,TKO
INV00152,C00485,"P00247,P00311,P00271,P00330,P00446",02/03/2025,TKO
INV00153,C00081,"P00065,P00488,P00527,P00449",22/05/2024,TKO
INV00154,C00548,"P00411,P00022,P00050",28/06/2025,CYB
INV00155,C00011,P00161,16/12/2025,ST
INV00156,C00387,"P00270,P00442",04/09/2024,CYB
INV00157,C00557,P00114,02/03/2025,ST
INV00158,C00880,"P00477,P00250",13/02/2024,ST
INV00159,C00304,"P00443,P00224,P00401",21/10/2024,MK
INV00160,C01139,"P00270,P00442,P00073,P00481",02/12/2024,MK
INV00161,C00590,P00509,09/11/2024,TKO
INV00162,C00472,"P00271,P00387,P00052,P00331",04/12/2024,TKO
INV00163,C00119,"P00173,P00267,P00424",17/06/2025,ST
INV00164,C00088,"P00270,P00442",03/02/2025,CYB
INV00165,C00595,P00304,22/05/2024,MK
INV00166,C00393,"P00364,P00008,P00206,P00311,P00033",12/03/2024,TKO
INV00167,C00697,"P00205,P00212",28/12/2025,CYB
INV00168,C00166,P00332,22/11/2025,ST
INV00169,C00041,"P00495,P00101,P00406,P00363,P00348",12/01/2025,TKO
INV00170,C00079,"P00271,P00387",10/04/2025,TKO
INV00171,C00529,P00122,18/12/2025,CYB
INV00172,C00623,"P00402,P00110,P00397",02/02/2025,TKO
INV00173,C00415,"P00515,P00210,P00151,P00461,P00183",02/07/2025,TKO
INV00174,C00623,P00422,02/11/2025,TKO
INV00175,C00062,"P00058,P00305,P00394",10/07/2024,CYB
INV00176,C00781,"P00383,P00306,P00186,P00399,P00053",09/09/2024,TKO
INV00177,C01026,"P00034,P00278,P00344,P00452",14/06/2025,TKO
INV00178,C00908,"P00503,P00292,P00039,P00135,P00333",23/09/2025,TKO
INV00179,C00820,P00231,02/09/2025,TKO
INV00180,C00752,"P00018,P00100,P00325",31/01/2024,ST
INV00181,C00586,"P00271,P00387",26/05/2024,TKO
INV00182,C00515,P00399,29/04/2025,TKO
INV00183,C00930,"P00032,P00159,P00257,P00302,P00423",11/12/2024,TKO
INV00184,C00838,P00148,26/03/2025,MK
INV00185,C00474,P00251,01/09/2024,CYB
INV00186,C00078,"P00333,P00012",27/12/2025,ST
INV00187,C00171,"P00046,P00017",21/01/2024,MK
INV00188,C01092,"P00280,P00182,P00406",17/10/2025,MK
INV00189,C00534,"P00270,P00442,P00313,P00449",21/05/2025,TKO
INV00190,C00107,"P00432,P00026",04/06/2024,TKO
INV00191,C00221,P00073,16/09/2024,TKO
INV00192,C00271,"P00270,P00442,P00297,P00021",21/10/2024,TKO
INV00193,C01086,"P00270,P00442,P00265",16/01/2025,CYB
INV00194,C00824,"P00325,P00308,P00393",04/05/2024,TKO
INV00195,C00954,"P00276,P00211",02/11/2024,MK
INV00196,C00018,P00148,30/03/2025,TKO
INV00197,C00347,P00066,16/04/2024,MK
INV00198,C00268,"P00455,P00287",15/10/2025,TKO
INV00199,C01125,"P00270,P00442,P00425,P00289",17/12/2025,CYB
INV00200,C00897,"P00382,P00309,P00200,P00144",08/06/2025,MK
INV00201,C01008,P00291,18/01/2025,TKO
INV00202,C00883,"P00270,P00442,P00276,P00180",08/03/2024,TKO
INV00203,C00132,"P00246,P00237,P00158,P00260,P00193",18/08/2025,TKO
INV00204,C00039,"P00051,P00262,P00228",30/07/2024,MK
INV00205,C00374,"P00270,P00442,P00444,P00497",19/02/2025,MK
INV00206,C00352,"P00271,P00387,P00315,P00168",04/03/2024,ST
INV00207,C00561,"P00521,P00518,P00376,P00302,P00226",05/08/2025,TKO
INV00208,C00013,"P00252,P00434",19/06/2025,TKO
INV00209,C00669,"P00516,P00312",20/04/2024,ST
INV00210,C00514,P00238,14/05/2025,MK
INV00211,C00673,"P00125,P00274,P00087,P00268",12/08/2024,ST
INV00212,C00740,"P00271,P00387",01/10/2025,CYB
INV00213,C00995,"P00349,P00177,P00334,P00173,P00040",04/12/2024,CYB
INV00214,C01034,"P00245,P00205,P00515",03/03/2024,TKO
INV00215,C00535,"P00270,P00442,P00062,P00218",25/05/2025,ST
INV00216,C00068,"P00374,P00496,P00162",28/07/2024,TKO
INV00217,C00064,"P00101,P00212",07/08/2025,ST
INV00218,C00105,"P00531,P00523,P00008,P00257,P00006",01/02/2025,MK
INV00219,C00132,P00356,06/11/2025,MK
INV00220,C00162,"P00066,P00515",30/09/2025,CYB
INV00221,C01101,"P00270,P00442",20/09/2024,TKO
INV00222,C00793,"P00535,P00339",23/02/2025,ST
INV00223,C00446,"P00513,P00407,P00320,P00164",09/06/2024,TKO
INV00224,C00709,"P00271,P00387",04/02/2024,TKO
INV00225,C00111,"P00265,P00045",19/11/2025,MK
INV00226,C00540,"P00281,P00081",23/12/2025,CYB
INV00227,C00242,"P00203,P00426,P00369,P00444",30/09/2024,TKO
INV00228,C00719,"P00210,P00441,P00058",03/07/2024,TKO
INV00229,C00162,P00106,23/11/2025,TKO
INV00230,C00071,"P00126,P00307",02/07/2024,CYB
INV00231,C00142,P00487,01/01/2024,TKO
INV00232,C00659,"P00138,P00321,P00390",11/02/2025,TKO
INV00233,C01119,"P00075,P00494",03/10/2025,CYB
INV00234,C00051,"P00106,P00271,P00296",30/04/2024,TKO
INV00235,C00767,"P00315,P00055,P00048",10/01/2024,MK
INV00236,C00030,"P00187,P00221,P00038",13/06/2025,MK
INV00237,C00801,"P00265,P00411,P00035,P00522,P00255",09/09/2024,CYB
INV00238,C00863,"P00231,P00488",24/04/2025,CYB
INV00239,C00553,P00332,10/09/2025,TKO
INV00240,C00817,P00220,28/04/2024,CYB
INV00241,C00423,"P00081,P00209,P00184,P00251",14/06/2024,MK
INV00242,C00182,"P00270,P00442",23/02/2024,TKO
INV00243,C00393,"P00294,P00021",26/10/2024,CYB
INV00244,C01172,"P00270,P00442,P00032",18/06/2025,TKO
INV00245,C00330,P00071,16/09/2024,MK
INV00246,C00252,"P00163,P00217",31/07/2025,MK
INV00247,C00092,P00447,14/08/2025,TKO
INV00248,C00846,"P00444,P00472,P00063,P00066,P00463",07/10/2024,TKO
INV00249,C00562,"P00142,P00131,P00079,P00181",01/04/2025,CYB
INV00250,C00029,"P00052,P00347,P00046",17/06/2024,TKO
INV00251,C00593,"P00073,P00504,P00314,P00510",20/01/2024,CYB
INV00252,C00714,"P00271,P00387,P00132,P00106",15/11/2025,TKO
INV00253,C00916,"P00276,P00014",23/08/2025,CYB
INV00254,C00848,"P00270,P00442,P00433,P00280",27/05/2025,ST
INV00255,C00263,"P00134,P00212,P00379,P00422",01/01/2024,CYB
INV00256,C00924,P00240,13/12/2025,TKO
INV00257,C00359,"P00493,P00429",29/09/2025,TKO
INV00258,C00042,P00368,10/12/2024,ST
INV00259,C00440,"P00280,P00515",18/11/2025,TKO
INV00260,C01025,"P00182,P00432,P00043,P00125",03/01/2025,MK
INV00261,C00611,"P00206,P00081,P00260,P00320",19/12/2025,ST
INV00262,C00651,"P00506,P00245,P00448,P00165,P00199",01/09/2025,CYB
INV00263,C00199,P00004,05/12/2025,CYB
INV00264,C00566,"P00175,P00493,P00490,P00107,P00068",07/06/2025,ST
INV00265,C00559,"P00289,P00323",16/01/2025,TKO
INV00266,C00807,"P00271,P00387",15/07/2025,CYB
INV00267,C00684,"P00271,P00387",27/08/2025,TKO
INV00268,C00810,P00026,06/04/2024,CYB
INV00269,C00943,"P00270,P00442,P00243",29/04/2025,MK
INV00270,C01068,P00005,14/06/2025,TKO
INV00271,C01043,"P00270,P00442,P00273",08/01/2025,CYB
INV00272,C00555,"P00270,P00442,P00433",02/09/2024,MK
INV00273,C00152,"P00119,P00186,P00468,P00432,P00124",21/11/2024,MK
INV00274,C00022,"P00027,P00130",12/02/2024,ST
INV00275,C00617,"P00326,P00310",16/10/2024,MK
INV00276,C00829,"P00383,P00200,P00257,P00225,P00405",31/05/2025,TKO
INV00277,C00488,"P00428,P00306,P00527,P00358,P00212",25/06/2025,MK
INV00278,C00513,"P00267,P00387,P00156,P00143,P00102",05/02/2024,TKO
INV00279,C00333,"P00043,P00068,P00175,P00010",30/12/2024,CYB
INV00280,C00474,"P00424,P00013",28/06/2024,CYB
INV00281,C00645,"P00416,P00344,P00147,P00458",31/07/2024,ST
INV00282,C01037,"P00056,P00317,P00433,P00034,P00484",14/11/2024,MK
INV00283,C00604,"P00271,P00387,P00177,P00088",05/06/2025,ST
INV00284,C01109,"P00416,P00321",04/12/2024,TKO
INV00285,C00994,"P00353,P00039",30/01/2025,CYB
INV00286,C00212,"P00270,P00442",06/06/2024,MK
INV00287,C00015,"P00504,P00380",19/07/2024,CYB
INV00288,C00701,P00247,09/05/2024,TKO
INV00289,C00898,"P00271,P00387,P00513",31/01/2024,MK
INV00290,C00380,"P00503,P00363,P00527,P00360,P00350",25/02/2025,TKO
INV00291,C00232,"P00066,P00164,P00449,P00490",11/07/2025,CYB
INV00292,C00828,"P00271,P00387,P00464",01/01/2024,TKO
INV00293,C00325,"P00083,P00531,P00045,P00166,P00114",02/11/2025,MK
INV00294,C00340,"P00271,P00387",07/12/2025,ST
INV00295,C01006,P00263,03/03/2025,ST
INV00296,C00403,"P00350,P00218",05/07/2025,MK
INV00297,C00848,"P00418,P00419,P00247",27/11/2024,CYB
INV00298,C00835,P00128,07/03/2024,CYB
INV00299,C00223,"P00332,P00245,P00043,P00158",23/12/2025,TKO
INV00300,C00204,"P00271,P00387",19/12/2025,TKO
INV00301,C00201,"P00270,P00442,P00259,P00364",08/07/2024,CYB
INV00302,C00609,"P00391,P00059,P00080,P00113",30/04/2025,MK
INV00303,C00202,"P00286,P00400,P00403,P00342",24/03/2025,ST
INV00304,C00647,P00371,25/04/2024,TKO
INV00305,C00451,"P00270,P00442,P00232",24/05/2024,TKO
INV00306,C00666,"P00367,P00094,P00082,P00361",01/07/2025,CYB
INV00307,C01152,"P00520,P00473,P00112",09/12/2024,MK
INV00308,C00757,"P00230,P00362,P00420,P00522,P00406",25/02/2025,CYB
INV00309,C00186,"P00356,P00408",15/12/2024,ST
INV00310,C00106,"P00287,P00254,P00332,P00155,P00481",16/01/2024,CYB
INV00311,C01057,"P00303,P00239,P00287",17/04/2024,ST
INV00312,C00640,"P00066,P00075",21/09/2024,MK
INV00313,C00038,"P00360,P00286,P00512,P00097",22/01/2024,TKO
INV00314,C00193,"P00270,P00442",27/05/2025,MK
INV00315,C00548,"P00082,P00465,P00059",26/09/2024,CYB
INV00316,C00255,"P00271,P00387,P00049,P00127",28/03/2024,TKO
INV00317,C01081,P00218,05/11/2025,MK
INV00318,C00230,"P00160,P00455,P00020,P00360,P00481",01/08/2024,ST
INV00319,C00979,"P00278,P00368,P00210,P00289,P00173",12/03/2025,TKO
INV00320,C00566,"P00480,P00345,P00311",15/04/2024,CYB
INV00321,C00126,P00469,12/02/2025,CYB
INV00322,C00826,"P00397,P00066",05/12/2024,MK
INV00323,C00729,P00085,16/11/2025,CYB
INV00324,C00271,"P00263,P00367,P00385,P00379,P00362",13/01/2025,TKO
INV00325,C00700,"P00270,P00442,P00077,P00421",07/10/2025,CYB
INV00326,C00785,"P00412,P00469,P00333",31/10/2024,ST
INV00327,C00558,"P00533,P00267,P00306",06/06/2025,TKO
INV00328,C00740,P00245,08/12/2025,MK
INV00329,C00652,"P00270,P00442,P00306,P00487",25/01/2025,CYB
INV00330,C00429,"P00029,P00371,P00378,P00218",22/06/2025,TKO
INV00331,C00572,"P00256,P00407,P00492",27/05/2025,CYB
INV00332,C01073,"P00432,P00019",28/01/2024,TKO
INV00333,C00931,"P00129,P00083,P00389,P00282",06/07/2024,CYB
INV00334,C00640,"P00270,P00442,P00474",27/01/2025,ST
INV00335,C00569,"P00409,P00514,P00296",12/07/2024,CYB
INV00336,C00752,"P00272,P00181,P00489,P00470",01/08/2024,MK
INV00337,C00594,"P00285,P00088",11/06/2025,ST
INV00338,C00043,P00177,11/10/2025,TKO
INV00339,C00509,"P00160,P00082,P00079",25/01/2024,TKO
INV00340,C01149,"P00271,P00387",25/04/2025,ST
INV00341,C00308,"P00385,P00071",10/10/2025,TKO
INV00342,C01129,"P00270,P00442,P00147,P00136",11/07/2024,MK
INV00343,C01033,P00060,28/08/2024,TKO
INV00344,C00951,P00107,16/08/2025,TKO
INV00345,C01155,P00295,07/05/2024,MK
INV00346,C00694,"P00331,P00275",25/08/2024,TKO
INV00347,C00498,"P00486,P00266",20/06/2025,ST
INV00348,C00664,"P00500,P00528,P00428",27/09/2024,MK
INV00349,C00629,"P00229,P00334,P00024,P00486,P00271",06/03/2025,CYB
INV00350,C00334,"P00121,P00020,P00049,P00138,P00411",08/08/2024,TKO
INV00351,C00251,P00312,20/08/2025,MK
INV00352,C00904,"P00336,P00198,P00100,P00516,P00274",06/11/2025,TKO
INV00353,C00903,"P00270,P00442,P00326",03/09/2024,MK
INV00354,C00090,"P00271,P00387,P00518,P00045",01/10/2024,ST
INV00355,C00404,"P00270,P00442,P00097",16/02/2024,CYB
INV00356,C00452,"P00271,P00387,P00428",02/05/2024,CYB
INV00357,C01095,"P00002,P00361,P00088,P00411",28/09/2025,ST
INV00358,C00810,P00172,18/06/2024,ST
INV00359,C00534,"P00247,P00113",09/11/2024,CYB
INV00360,C00619,"P00025,P00023",28/01/2024,CYB
INV00361,C00645,"P00271,P00387",03/11/2025,TKO
INV00362,C01007,"P00270,P00442,P00201,P00448",28/06/2025,TKO
INV00363,C00397,"P00271,P00387,P00529,P00045",29/03/2024,CYB
INV00364,C00130,"P00531,P00213",26/02/2024,ST
INV00365,C00241,"P00271,P00387,P00458",02/05/2024,TKO
INV00366,C00293,"P00271,P00387",19/08/2025,MK
INV00367,C00655,P00176,04/01/2025,MK
INV00368,C00445,"P00126,P00529,P00332,P00199",26/04/2024,CYB
INV00369,C00843,P00438,14/03/2024,ST
INV00370,C00220,"P00271,P00387,P00095,P00135",19/01/2025,ST
INV00371,C00275,"P00033,P00410,P00166",21/01/2024,MK
INV00372,C00787,"P00223,P00421,P00532",13/06/2024,TKO
INV00373,C00604,P00041,24/08/2024,CYB
INV00374,C00480,"P00251,P00213,P00150,P00510,P00437",21/10/2025,ST
INV00375,C00522,"P00270,P00442,P00057,P00152",03/04/2024,TKO
INV00376,C00825,"P00388,P00381,P00387",20/02/2025,ST
INV00377,C00233,"P00249,P00136,P00065,P00176,P00137",05/02/2025,ST
INV00378,C00418,"P00070,P00520",06/09/2024,CYB
INV00379,C00896,"P00270,P00442",09/12/2025,CYB
INV00380,C00186,"P00453,P00022,P00274",23/10/2024,ST
INV00381,C00029,"P00317,P00524,P00171,P00410",15/11/2024,ST
INV00382,C01062,"P00105,P00435,P00058,P00085,P00210",08/02/2024,MK
INV00383,C01031,"P00214,P00250",17/08/2025,ST
INV00384,C00833,"P00384,P00374",20/11/2024,CYB
INV00385,C01058,"P00342,P00071,P00287,P00432,P00501",16/03/2025,MK
INV00386,C00992,"P00268,P00301",13/02/2024,CYB
INV00387,C00431,"P00084,P00248,P00424,P00090,P00519",18/02/2025,TKO
INV00388,C01171,"P00182,P00365,P00090",09/03/2024,TKO
INV00389,C00028,P00027,26/09/2024,CYB
INV00390,C01054,"P00139,P00489,P00075",17/07/2025,TKO
INV00391,C00808,"P00092,P00434,P00188",12/08/2025,CYB
INV00392,C00369,"P00270,P00442",24/10/2025,TKO
INV00393,C00699,"P00065,P00263",16/08/2024,ST
INV00394,C01025,P00301,19/06/2024,CYB
INV00395,C00936,P00069,07/02/2024,CYB
INV00396,C00806,"P00164,P00469,P00215",20/02/2024,MK
INV00397,C00053,"P00270,P00442,P00284,P00112",22/10/2025,MK
INV00398,C00947,"P00414,P00263",08/12/2025,TKO
INV00399,C00065,"P00271,P00387,P00323,P00332",10/04/2024,CYB
INV00400,C00445,P00134,13/09/2024,TKO
INV00401,C00978,"P00182,P00303,P00219",14/03/2024,MK
INV00402,C00594,"P00096,P00305",05/10/2025,CYB
INV00403,C01076,"P00323,P00275",21/08/2024,MK
INV00404,C00004,"P00270,P00442",20/07/2025,TKO
INV00405,C00518,"P00531,P00018,P00224",29/03/2024,MK
INV00406,C00448,"P00431,P00284,P00213,P00281,P00405",01/12/2025,MK
INV00407,C00326,"P00520,P00378",23/09/2025,MK
INV00408,C00810,"P00245,P00284,P00084,P00017",16/06/2024,ST
INV00409,C00592,"P00533,P00069,P00418,P00207",20/05/2025,ST
INV00410,C00830,"P00019,P00033",12/06/2024,TKO
INV00411,C00088,P00115,14/03/2024,MK
INV00412,C00143,"P00270,P00442,P00037,P00348",04/07/2024,ST
INV00413,C00052,"P00227,P00329,P00039",27/03/2025,CYB
INV00414,C00914,P00534,02/10/2025,TKO
INV00415,C00948,"P00271,P00387,P00320,P00182",03/02/2024,CYB
INV00416,C01111,"P00271,P00387",08/08/2024,TKO
INV00417,C00906,"P00184,P00473",25/06/2025,CYB
INV00418,C00588,"P00517,P00066,P00491,P00299,P00435",23/10/2024,CYB
INV00419,C00810,P00306,12/07/2024,ST
INV00420,C00628,"P00353,P00366,P00201",23/01/2025,MK
INV00421,C00447,"P00355,P00188,P00132,P00504",20/02/2024,TKO
INV00422,C00135,"P00326,P00528",16/10/2025,TKO
INV00423,C00619,"P00352,P00042,P00351",20/05/2025,ST
INV00424,C00358,"P00271,P00387,P00443",28/01/2025,MK
INV00425,C00843,"P00096,P00456,P00048",11/03/2024,CYB
INV00426,C00750,"P00512,P00488,P00355,P00469,P00292",12/01/2025,TKO
INV00427,C00497,"P00040,P00445,P00018",05/02/2025,ST
INV00428,C00743,"P00270,P00442",24/06/2025,TKO
INV00429,C00162,"P00270,P00442,P00430",06/06/2025,TKO
INV00430,C00965,"P00074,P00483",30/03/2024,ST
INV00431,C00852,"P00271,P00387",23/09/2025,TKO
INV00432,C00810,"P00489,P00435",28/12/2025,TKO
INV00433,C00944,"P00090,P00366,P00474,P00146,P00431",15/02/2024,CYB
INV00434,C00061,"P00271,P00387",25/09/2024,TKO
