Customer id,Gender,Age,Payment method
C00924,F,37,Credit Card
C00925,M,43,Cash
C00926,F,27,Cash
C00927,F,40,Cash
C00928,F,34,Cash
C00929,M,28,Cash
C00930,M,49,Cash
C00931,F,58,Mobile Payment
C00932,F,28,Credit Card
C00933,M,59,Mobile Payment
C00934,F,54,Cash
C00935,M,43,Cash
C00936,M,60,Credit Card
C00937,F,40,Cash
C00938,M,20,Credit Card
C00939,M,37,Credit Card
C00940,M,34,Credit Card
C00941,M,37,Credit Card
C00942,F,59,Credit Card
C00943,F,44,Cash
C00944,F,46,Cash
C00945,M,31,Credit Card
C00946,M,48,Credit Card
C00947,F,21,Cash
C00948,M,23,Cash
C00949,M,42,Cash
C00950,F,34,Credit Card
C00951,M,34,Cash
C00952,F,40,Mobile Payment
C00953,F,53,Mobile Payment
C00954,F,58,Cash
C00955,M,59,Cash
C00956,M,28,Mobile Payment
C00957,M,60,Credit Card
C00958,M,37,Cash
C00959,M,55,Cash
C00960,M,32,Credit Card
C00961,M,31,Cash
C00962,M,26,Cash
C00963,M,28,Credit Card
C00964,M,19,Mobile Payment
C00965,F,26,Credit Card
C00966,M,31,Cash
C00967,M,31,Credit Card
C00968,M,30,Cash
C00969,M,22,Credit Card
C00970,M,28,Cash
C00971,M,20,Credit Card
C00972,M,43,Cash
C00973,M,34,Credit Card
C00974,M,44,Mobile Payment
C00975,M,41,Cash
C00976,F,46,Cash
C00977,M,47,Credit Card
C00978,M,36,Cash
C00979,M,56,Mobile Payment
C00980,M,35,Cash
C00981,F,54,Credit Card
C00982,F,19,Credit Card
C00983,F,59,Cash
C00984,M,53,Credit Card
C00985,F,59,Mobile Payment
C00986,F,56,Mobile Payment
C00987,F,24,Cash
C00988,M,48,Mobile Payment
C00989,F,28,Credit Card
C00990,F,37,Cash
C00991,F,51,Mobile Payment
C00992,M,41,Cash
C00993,M,44,Cash
C00994,M,58,Credit Card
C00995,M,39,Credit Card
C00996,M,38,Credit Card
C00997,F,22,Credit Card
C00998,M,43,Cash
C00999,F,60,Cash
C01000,F,19,Cash
C01001,M,32,Cash
C01002,F,50,Credit Card
C01003,M,38,Mobile Payment
C01004,M,46,Mobile Payment
C01005,F,44,Cash
C01006,M,45,Mobile Payment
C01007,M,24,Credit Card
C01008,F,38,Credit Card
C01009,F,58,Credit Card
C01010,F,20,Credit Card
C01011,F,57,Credit Card
C01012,M,60,Cash
C01013,M,34,Credit Card
C01014,F,27,Credit Card
C01015,F,42,Mobile Payment
C01016,M,23,Credit Card
C01017,M,20,Cash
C01018,M,27,Cash
C01019,M,34,Mobile Payment
C01020,M,45,Credit Card
C01021,F,60,Credit Card
C01022,M,18,Credit Card
C01023,M,58,Mobile Payment
C01024,F,22,Mobile Payment
C01025,F,29,Credit Card
C01026,M,19,Cash
C01027,F,35,Cash
C01028,M,18,Cash
C01029,M,34,Cash
C01030,F,24,Mobile Payment
C01031,M,47,Mobile Payment
C01032,M,51,Cash
C01033,M,23,Credit Card
C01034,F,44,Credit Card
C01035,F,26,Cash
C01036,F,43,Mobile Payment
C01037,M,35,Mobile Payment
C01038,F,38,Credit Card
C01039,F,22,Credit Card
C01040,M,33,Cash
C01041,M,41,Mobile Payment
C01042,M,25,Credit Card
C01043,M,41,Mobile Payment
