Invoice no,Customer id,Product id list,Invoice date,Shopping mall,ProductList,Product id,Category,Price,Gender,Age,Payment method,LineAmount,InvoiceAmount
INV00016,C00112,"P00078,P00065,P00033,P00507,P00257",2025-08-25,ST,P00507,P00507,Clothing,386.59,M,52,Cash,386.59,4542.88
INV00016,C00112,"P00078,P00065,P00033,P00507,P00257",2025-08-25,ST,P00257,P00257,Groceries,79.2,M,52,Cash,79.2,4542.88
INV00017,C00561,"P00247,P00214,P00506,P00400",2025-12-12,TKO,P00247,P00247,Clothing,825.56,F,21,Cash,825.56,7480.219999999999
INV00017,C00561,"P00247,P00214,P00506,P00400",2025-12-12,TKO,P00214,P00214,Electronics,1984.29,F,21,Cash,1984.29,7480.219999999999
INV00017,C00561,"P00247,P00214,P00506,P00400",2025-12-12,TKO,P00506,P00506,Clothing,812.21,F,21,Cash,812.21,7480.219999999999
INV00017,C00561,"P00247,P00214,P00506,P00400",2025-12-12,TKO,P00400,P00400,Electronics,3858.16,F,21,Cash,3858.16,7480.219999999999
INV00018,C00194,"P00271,P00387,P00135,P00069",2025-01-28,TKO,P00271,P00271,Toys,108.14,M,35,Cash,108.14,787.43
INV00018,C00194,"P00271,P00387,P00135,P00069",2025-01-28,TKO,P00387,P00387,Books,197.4,M,35,Cash,197.4,787.43
INV00018,C00194,"P00271,P00387,P00135,P00069",2025-01-28,TKO,P00135,P00135,Books,382.28,M,35,Cash,382.28,787.43
INV00018,C00194,"P00271,P00387,P00135,P00069",2025-01-28,TKO,P00069,P00069,Toys,99.61,M,35,Cash,99.61,787.43
INV00019,C01109,"P00508,P00439,P00232,P00436",2025-05-06,TKO,P00508,P00508,Electronics,2107.43,F,41,Credit Card,2107.43,11421.779999999999
INV00019,C01109,"P00508,P00439,P00232,P00436",2025-05-06,TKO,P00439,P00439,Electronics,4156.82,F,41,Credit Card,4156.82,11421.779999999999
INV00019,C01109,"P00508,P00439,P00232,P00436",2025-05-06,TKO,P00232,P00232,Clothing,306.07,F,41,Credit Card,306.07,11421.779999999999
INV00019,C01109,"P00508,P00439,P00232,P00436",2025-05-06,TKO,P00436,P00436,Electronics,4851.46,F,41,Credit Card,4851.46,11421.779999999999
INV00020,C00334,"P00057,P00364",2025-08-12,TKO,P00057,P00057,Electronics,4624.48,F,41,Cash,4624.48,7848.78
INV00020,C00334,"P00057,P00364",2025-08-12,TKO,P00364,P00364,Electronics,3224.3,F,41,Cash,3224.3,7848.78
INV00021,C01164,"P00005,P00112,P00429,P00491",2024-12-21,TKO,P00005,P00005,Books,279.14,F,28,Cash,279.14,3821.24
INV00021,C01164,"P00005,P00112,P00429,P00491",2024-12-21,TKO,P00112,P00112,Clothing,909.64,F,28,Cash,909.64,3821.24
INV00021,C01164,"P00005,P00112,P00429,P00491",2024-12-21,TKO,P00429,P00429,Clothing,272.96,F,28,Cash,272.96,3821.24
INV00021,C01164,"P00005,P00112,P00429,P00491",2024-12-21,TKO,P00491,P00491,Electronics,2359.5,F,28,Cash,2359.5,3821.24
INV00022,C01032,"P00270,P00442,P00432",2025-12-06,TKO,P00270,P00270,Electronics,1546.75,M,51,Cash,1546.75,1816.53
INV00022,C01032,"P00270,P00442,P00432",2025-12-06,TKO,P00442,P00442,Toys,129.62,M,51,Cash,129.62,1816.53
INV00022,C01032,"P00270,P00442,P00432",2025-12-06,TKO,P00432,P00432,Toys,140.16,M,51,Cash,140.16,1816.53
INV00023,C00911,"P00343,P00243,P00345,P00004,P00319",2025-12-10,ST,P00343,P00343,Clothing,188.83,M,22,Cash,188.83,2701.57
INV00023,C00911,"P00343,P00243,P00345,P00004,P00319",2025-12-10,ST,P00243,P00243,Books,583.76,M,22,Cash,583.76,2701.57
INV00023,C00911,"P00343,P00243,P00345,P00004,P00319",2025-12-10,ST,P00345,P00345,Groceries,257.63,M,22,Cash,257.63,2701.57
INV00023,C00911,"P00343,P00243,P00345,P00004,P00319",2025-12-10,ST,P00004,P00004,Electronics,1561.48,M,22,Cash,1561.48,2701.57
INV00023,C00911,"P00343,P00243,P00345,P00004,P00319",2025-12-10,ST,P00319,P00319,Toys,109.87,M,22,Cash,109.87,2701.57
INV00024,C00918,"P00018,P00081",2025-03-20,MK,P00018,P00018,Clothing,484.96,M,51,Credit Card,484.96,3087.26
INV00024,C00918,"P00018,P00081",2025-03-20,MK,P00081,P00081,Electronics,2602.3,M,51,Credit Card,2602.3,3087.26
INV00025,C00977,"P00246,P00446,P00034,P00275",2025-06-09,ST,P00246,P00246,Toys,124.56,M,47,Credit Card,124.56,5956.81
INV00025,C00977,"P00246,P00446,P00034,P00275",2025-06-09,ST,P00446,P00446,Electronics,3742.21,M,47,Credit Card,3742.21,5956.81
INV00025,C00977,"P00246,P00446,P00034,P00275",2025-06-09,ST,P00034,P00034,Electronics,1966.99,M,47,Credit Card,1966.99,5956.81
INV00025,C00977,"P00246,P00446,P00034,P00275",2025-06-09,ST,P00275,P00275,Toys,123.05,M,47,Credit Card,123.05,5956.81
INV00026,C01098,P00336,2025-05-20,CYB,P00336,P00336,Electronics,3584.61,M,25,Credit Card,3584.61,3584.61
INV00027,C00492,"P00154,P00286,P00391",2025-11-15,MK,P00154,P00154,Toys,142.5,M,39,Cash,142.5,1142.17
INV00027,C00492,"P00154,P00286,P00391",2025-11-15,MK,P00286,P00286,Clothing,873.2,M,39,Cash,873.2,1142.17
INV00027,C00492,"P00154,P00286,P00391",2025-11-15,MK,P00391,P00391,Toys,126.47,M,39,Cash,126.47,1142.17
INV00028,C00345,"P00438,P00513,P00036",2025-05-29,TKO,P00438,P00438,Electronics,1511.98,F,44,Cash,1511.98,6418.49
INV00028,C00345,"P00438,P00513,P00036",2025-05-29,TKO,P00513,P00513,Electronics,4759.29,F,44,Cash,4759.29,6418.49
INV00028,C00345,"P00438,P00513,P00036",2025-05-29,TKO,P00036,P00036,Toys,147.22,F,44,Cash,147.22,6418.49
INV00029,C00020,"P00270,P00442,P00268",2024-05-20,TKO,P00270,P00270,Electronics,1546.75,M,55,Cash,1546.75,1797.01
INV00029,C00020,"P00270,P00442,P00268",2024-05-20,TKO,P00442,P00442,Toys,129.62,M,55,Cash,129.62,1797.01
INV00029,C00020,"P00270,P00442,P00268",2024-05-20,TKO,P00268,P00268,Toys,120.64,M,55,Cash,120.64,1797.01
INV00030,C00192,"P00293,P00099,P00206,P00499",2024-07-21,ST,P00293,P00293,Books,549.13,F,51,Credit Card,549.13,2735.33
INV00030,C00192,"P00293,P00099,P00206,P00499",2024-07-21,ST,P00099,P00099,Electronics,1850.87,F,51,Credit Card,1850.87,2735.33
INV00030,C00192,"P00293,P00099,P00206,P00499",2024-07-21,ST,P00206,P00206,Toys,116.79,F,51,Credit Card,116.79,2735.33
INV00030,C00192,"P00293,P00099,P00206,P00499",2024-07-21,ST,P00499,P00499,Books,218.54,F,51,Credit Card,218.54,2735.33
INV00031,C00124,"P00147,P00181,P00004,P00210",2025-03-27,MK,P00147,P00147,Groceries,121.32,F,31,Mobile Payment,121.32,2739.43
INV00031,C00124,"P00147,P00181,P00004,P00210",2025-03-27,MK,P00181,P00181,Clothing,950.68,F,31,Mobile Payment,950.68,2739.43
INV00031,C00124,"P00147,P00181,P00004,P00210",2025-03-27,MK,P00004,P00004,Electronics,1561.48,F,31,Mobile Payment,1561.48,2739.43
INV00031,C00124,"P00147,P00181,P00004,P00210",2025-03-27,MK,P00210,P00210,Toys,105.95,F,31,Mobile Payment,105.95,2739.43
INV00032,C00106,"P00498,P00405,P00152",2025-03-16,MK,P00498,P00498,Clothing,950.44,M,50,Credit Card,950.44,1460.13
INV00032,C00106,"P00498,P00405,P00152",2025-03-16,MK,P00405,P00405,Clothing,404.12,M,50,Credit Card,404.12,1460.13
INV00032,C00106,"P00498,P00405,P00152",2025-03-16,MK,P00152,P00152,Toys,105.57,M,50,Credit Card,105.57,1460.13
INV00033,C01027,"P00267,P00004,P00378,P00019,P00180",2025-10-09,TKO,P00267,P00267,Groceries,156.44,F,35,Cash,156.44,3681.59
INV00033,C01027,"P00267,P00004,P00378,P00019,P00180",2025-10-09,TKO,P00004,P00004,Electronics,1561.48,F,35,Cash,1561.48,3681.59
INV00033,C01027,"P00267,P00004,P00378,P00019,P00180",2025-10-09,TKO,P00378,P00378,Groceries,159.81,F,35,Cash,159.81,3681.59
INV00033,C01027,"P00267,P00004,P00378,P00019,P00180",2025-10-09,TKO,P00019,P00019,Electronics,1347.11,F,35,Cash,1347.11,3681.59
INV00033,C01027,"P00267,P00004,P00378,P00019,P00180",2025-10-09,TKO,P00180,P00180,Clothing,456.75,F,35,Cash,456.75,3681.59
INV00034,C00301,"P00009,P00097,P00406,P00151,P00323",2025-02-01,MK,P00009,P00009,Clothing,644.69,F,30,Credit Card,644.69,2398.25
INV00034,C00301,"P00009,P00097,P00406,P00151,P00323",2025-02-01,MK,P00097,P00097,Clothing,945.18,F,30,Credit Card,945.18,2398.25
INV00034,C00301,"P00009,P00097,P00406,P00151,P00323",2025-02-01,MK,P00406,P00406,Groceries,269.79,F,30,Credit Card,269.79,2398.25
INV00034,C00301,"P00009,P00097,P00406,P00151,P00323",2025-02-01,MK,P00151,P00151,Groceries,203.53,F,30,Credit Card,203.53,2398.25
INV00034,C00301,"P00009,P00097,P00406,P00151,P00323",2025-02-01,MK,P00323,P00323,Clothing,335.06,F,30,Credit Card,335.06,2398.25
INV00035,C00549,"P00270,P00442,P00230,P00338",2024-07-27,ST,P00270,P00270,Electronics,1546.75,M,52,Cash,1546.75,2144.33
INV00035,C00549,"P00270,P00442,P00230,P00338",2024-07-27,ST,P00442,P00442,Toys,129.62,M,52,Cash,129.62,2144.33
INV00035,C00549,"P00270,P00442,P00230,P00338",2024-07-27,ST,P00230,P00230,Groceries,231.51,M,52,Cash,231.51,2144.33
INV00035,C00549,"P00270,P00442,P00230,P00338",2024-07-27,ST,P00338,P00338,Groceries,236.45,M,52,Cash,236.45,2144.33
INV00036,C00668,"P00270,P00442,P00088,P00211",2025-04-26,CYB,P00270,P00270,Electronics,1546.75,M,19,Cash,1546.75,8815.42
INV00036,C00668,"P00270,P00442,P00088,P00211",2025-04-26,CYB,P00442,P00442,Toys,129.62,M,19,Cash,129.62,8815.42
INV00036,C00668,"P00270,P00442,P00088,P00211",2025-04-26,CYB,P00088,P00088,Electronics,1517.13,M,19,Cash,1517.13,8815.42
INV00036,C00668,"P00270,P00442,P00088,P00211",2025-04-26,CYB,P00211,P00211,Electronics,5621.92,M,19,Cash,5621.92,8815.42
INV00037,C00776,"P00200,P00494,P00228",2024-07-09,ST,P00200,P00200,Books,121.94,F,56,Credit Card,121.94,1909.3000000000002
INV00037,C00776,"P00200,P00494,P00228",2024-07-09,ST,P00494,P00494,Clothing,827.89,F,56,Credit Card,827.89,1909.3000000000002
INV00037,C00776,"P00200,P00494,P00228",2024-07-09,ST,P00228,P00228,Clothing,959.47,F,56,Credit Card,959.47,1909.3000000000002
INV00038,C00811,"P00513,P00231,P00509,P00033",2025-12-11,MK,P00513,P00513,Electronics,4759.29,M,53,Mobile Payment,4759.29,8864.71
INV00038,C00811,"P00513,P00231,P00509,P00033",2025-12-11,MK,P00231,P00231,Groceries,67.77,M,53,Mobile Payment,67.77,8864.71
INV00038,C00811,"P00513,P00231,P00509,P00033",2025-12-11,MK,P00509,P00509,Clothing,998.8,M,53,Mobile Payment,998.8,8864.71
INV00038,C00811,"P00513,P00231,P00509,P00033",2025-12-11,MK,P00033,P00033,Electronics,3038.85,M,53,Mobile Payment,3038.85,8864.71
INV00039,C00899,"P00270,P00442,P00185",2025-03-24,MK,P00270,P00270,Electronics,1546.75,M,40,Cash,1546.75,1961.17
INV00039,C00899,"P00270,P00442,P00185",2025-03-24,MK,P00442,P00442,Toys,129.62,M,40,Cash,129.62,1961.17
INV00039,C00899,"P00270,P00442,P00185",2025-03-24,MK,P00185,P00185,Clothing,284.8,M,40,Cash,284.8,1961.17
INV00040,C00678,"P00203,P00465,P00013",2025-04-29,MK,P00203,P00203,Books,229.02,M,56,Cash,229.02,3007.8199999999997
INV00040,C00678,"P00203,P00465,P00013",2025-04-29,MK,P00465,P00465,Electronics,2333.91,M,56,Cash,2333.91,3007.8199999999997
INV00040,C00678,"P00203,P00465,P00013",2025-04-29,MK,P00013,P00013,Books,444.89,M,56,Cash,444.89,3007.8199999999997
INV00041,C00034,"P00270,P00442,P00522,P00269",2024-07-31,ST,P00270,P00270,Electronics,1546.75,M,39,Mobile Payment,1546.75,5195.16
INV00041,C00034,"P00270,P00442,P00522,P00269",2024-07-31,ST,P00442,P00442,Toys,129.62,M,39,Mobile Payment,129.62,5195.16
INV00041,C00034,"P00270,P00442,P00522,P00269",2024-07-31,ST,P00522,P00522,Clothing,515.52,M,39,Mobile Payment,515.52,5195.16
INV00041,C00034,"P00270,P00442,P00522,P00269",2024-07-31,ST,P00269,P00269,Electronics,3003.27,M,39,Mobile Payment,3003.27,5195.16
INV00042,C01035,"P00053,P00499,P00071,P00473,P00198",2025-09-26,CYB,P00053,P00053,Books,365.42,F,26,Cash,365.42,1946.72
INV00042,C01035,"P00053,P00499,P00071,P00473,P00198",2025-09-26,CYB,P00499,P00499,Books,218.54,F,26,Cash,218.54,1946.72
INV00042,C01035,"P00053,P00499,P00071,P00473,P00198",2025-09-26,CYB,P00071,P00071,Clothing,802.18,F,26,Cash,802.18,1946.72
INV00042,C01035,"P00053,P00499,P00071,P00473,P00198",2025-09-26,CYB,P00473,P00473,Books,418.07,F,26,Cash,418.07,1946.72
INV00042,C01035,"P00053,P00499,P00071,P00473,P00198",2025-09-26,CYB,P00198,P00198,Toys,142.51,F,26,Cash,142.51,1946.72
INV00043,C00046,"P00271,P00387,P00179",2024-08-03,MK,P00271,P00271,Toys,108.14,F,31,Credit Card,108.14,365.53
INV00043,C00046,"P00271,P00387,P00179",2024-08-03,MK,P00387,P00387,Books,197.4,F,31,Credit Card,197.4,365.53
INV00043,C00046,"P00271,P00387,P00179",2024-08-03,MK,P00179,P00179,Groceries,59.99,F,31,Credit Card,59.99,365.53
INV00044,C01099,"P00494,P00445",2025-01-07,CYB,P00494,P00494,Clothing,827.89,M,59,Cash,827.89,901.97
INV00044,C01099,"P00494,P00445",2025-01-07,CYB,P00445,P00445,Groceries,74.08,M,59,Cash,74.08,901.97
INV00045,C00856,"P00121,P00041,P00413",2024-09-29,CYB,P00121,P00121,Groceries,304.02,F,54,Credit Card,304.02,5529.76
INV00045,C00856,"P00121,P00041,P00413",2024-09-29,CYB,P00041,P00041,Clothing,400.92,F,54,Credit Card,400.92,5529.76
INV00045,C00856,"P00121,P00041,P00413",2024-09-29,CYB,P00413,P00413,Electronics,4824.82,F,54,Credit Card,4824.82,5529.76
INV00046,C00410,"P00500,P00327",2024-06-11,TKO,P00500,P00500,Groceries,115.32,M,47,Cash,115.32,259.71
INV00046,C00410,"P00500,P00327",2024-06-11,TKO,P00327,P00327,Toys,144.39,M,47,Cash,144.39,259.71
INV00047,C01097,"P00202,P00493",2024-06-16,MK,P00202,P00202,Clothing,629.66,M,44,Mobile Payment,629.66,1019.93
INV00047,C01097,"P00202,P00493",2024-06-16,MK,P00493,P00493,Clothing,390.27,M,44,Mobile Payment,390.27,1019.93
INV00048,C00909,"P00479,P00304,P00042",2024-06-05,MK,P00479,P00479,Toys,127.7,F,48,Cash,127.7,2799.44
INV00048,C00909,"P00479,P00304,P00042",2024-06-05,MK,P00304,P00304,Electronics,1749.41,F,48,Cash,1749.41,2799.44
INV00048,C00909,"P00479,P00304,P00042",2024-06-05,MK,P00042,P00042,Clothing,922.33,F,48,Cash,922.33,2799.44
INV00049,C01055,"P00368,P00070,P00448,P00034",2024-01-13,MK,P00368,P00368,Clothing,618.82,M,38,Cash,618.82,10496.77
INV00049,C01055,"P00368,P00070,P00448,P00034",2024-01-13,MK,P00070,P00070,Electronics,2416.27,M,38,Cash,2416.27,10496.77
INV00049,C01055,"P00368,P00070,P00448,P00034",2024-01-13,MK,P00448,P00448,Electronics,5494.69,M,38,Cash,5494.69,10496.77
INV00049,C01055,"P00368,P00070,P00448,P00034",2024-01-13,MK,P00034,P00034,Electronics,1966.99,M,38,Cash,1966.99,10496.77
INV00050,C00840,"P00277,P00435,P00281",2024-10-24,TKO,P00277,P00277,Electronics,3208.65,F,44,Cash,3208.65,3708.28
INV00050,C00840,"P00277,P00435,P00281",2024-10-24,TKO,P00435,P00435,Toys,97.94,F,44,Cash,97.94,3708.28
INV00050,C00840,"P00277,P00435,P00281",2024-10-24,TKO,P00281,P00281,Clothing,401.69,F,44,Cash,401.69,3708.28
INV00051,C00691,"P00517,P00516,P00491,P00003,P00192",2024-08-10,TKO,P00517,P00517,Books,80.53,F,46,Cash,80.53,5209.18
INV00051,C00691,"P00517,P00516,P00491,P00003,P00192",2024-08-10,TKO,P00516,P00516,Electronics,2321.58,F,46,Cash,2321.58,5209.18
INV00051,C00691,"P00517,P00516,P00491,P00003,P00192",2024-08-10,TKO,P00491,P00491,Electronics,2359.5,F,46,Cash,2359.5,5209.18
INV00051,C00691,"P00517,P00516,P00491,P00003,P00192",2024-08-10,TKO,P00003,P00003,Groceries,166.36,F,46,Cash,166.36,5209.18
INV00051,C00691,"P00517,P00516,P00491,P00003,P00192",2024-08-10,TKO,P00192,P00192,Clothing,281.21,F,46,Cash,281.21,5209.18
INV00052,C00544,"P00045,P00107,P00499",2024-11-03,TKO,P00045,P00045,Electronics,4163.17,F,38,Mobile Payment,4163.17,4691.61
INV00052,C00544,"P00045,P00107,P00499",2024-11-03,TKO,P00107,P00107,Books,309.9,F,38,Mobile Payment,309.9,4691.61
INV00052,C00544,"P00045,P00107,P00499",2024-11-03,TKO,P00499,P00499,Books,218.54,F,38,Mobile Payment,218.54,4691.61
INV00053,C00594,"P00179,P00158,P00367,P00472",2024-06-11,TKO,P00179,P00179,Groceries,59.99,F,40,Cash,59.99,3963.5499999999997
INV00053,C00594,"P00179,P00158,P00367,P00472",2024-06-11,TKO,P00158,P00158,Electronics,3576.45,F,40,Cash,3576.45,3963.5499999999997
INV00053,C00594,"P00179,P00158,P00367,P00472",2024-06-11,TKO,P00367,P00367,Toys,137.24,F,40,Cash,137.24,3963.5499999999997
INV00053,C00594,"P00179,P00158,P00367,P00472",2024-06-11,TKO,P00472,P00472,Groceries,189.87,F,40,Cash,189.87,3963.5499999999997
INV00054,C00039,"P00062,P00465,P00471,P00219",2024-03-23,TKO,P00062,P00062,Books,355.55,M,30,Mobile Payment,355.55,4095.69
INV00054,C00039,"P00062,P00465,P00471,P00219",2024-03-23,TKO,P00465,P00465,Electronics,2333.91,M,30,Mobile Payment,2333.91,4095.69
INV00054,C00039,"P00062,P00465,P00471,P00219",2024-03-23,TKO,P00471,P00471,Clothing,898.14,M,30,Mobile Payment,898.14,4095.69
INV00054,C00039,"P00062,P00465,P00471,P00219",2024-03-23,TKO,P00219,P00219,Books,508.09,M,30,Mobile Payment,508.09,4095.69
INV00055,C00094,"P00264,P00127",2025-01-21,ST,P00264,P00264,Clothing,595.5,M,51,Cash,595.5,1265.4099999999999
INV00055,C00094,"P00264,P00127",2025-01-21,ST,P00127,P00127,Clothing,669.91,M,51,Cash,669.91,1265.4099999999999
INV00056,C00586,"P00476,P00365,P00249,P00317",2024-06-05,TKO,P00476,P00476,Toys,138.66,M,53,Cash,138.66,1796.46
INV00056,C00586,"P00476,P00365,P00249,P00317",2024-06-05,TKO,P00365,P00365,Clothing,375.42,M,53,Cash,375.42,1796.46
INV00056,C00586,"P00476,P00365,P00249,P00317",2024-06-05,TKO,P00249,P00249,Clothing,475.84,M,53,Cash,475.84,1796.46
INV00056,C00586,"P00476,P00365,P00249,P00317",2024-06-05,TKO,P00317,P00317,Clothing,806.54,M,53,Cash,806.54,1796.46
INV00057,C00313,"P00271,P00387,P00015",2024-07-24,MK,P00271,P00271,Toys,108.14,F,22,Mobile Payment,108.14,577.6299999999999
INV00057,C00313,"P00271,P00387,P00015",2024-07-24,MK,P00387,P00387,Books,197.4,F,22,Mobile Payment,197.4,577.6299999999999
INV00057,C00313,"P00271,P00387,P00015",2024-07-24,MK,P00015,P00015,Groceries,272.09,F,22,Mobile Payment,272.09,577.6299999999999
INV00058,C00683,"P00486,P00316,P00352,P00317",2024-08-28,MK,P00486,P00486,Electronics,4178.61,F,40,Mobile Payment,4178.61,5590.179999999999
INV00058,C00683,"P00486,P00316,P00352,P00317",2024-08-28,MK,P00316,P00316,Clothing,548.26,F,40,Mobile Payment,548.26,5590.179999999999
INV00058,C00683,"P00486,P00316,P00352,P00317",2024-08-28,MK,P00352,P00352,Groceries,56.77,F,40,Mobile Payment,56.77,5590.179999999999
INV00058,C00683,"P00486,P00316,P00352,P00317",2024-08-28,MK,P00317,P00317,Clothing,806.54,F,40,Mobile Payment,806.54,5590.179999999999
INV00059,C00408,"P00293,P00173,P00074,P00244,P00225",2024-06-18,CYB,P00293,P00293,Books,549.13,F,42,Mobile Payment,549.13,7560.81
INV00059,C00408,"P00293,P00173,P00074,P00244,P00225",2024-06-18,CYB,P00173,P00173,Electronics,3152.4,F,42,Mobile Payment,3152.4,7560.81
INV00059,C00408,"P00293,P00173,P00074,P00244,P00225",2024-06-18,CYB,P00074,P00074,Electronics,1361.52,F,42,Mobile Payment,1361.52,7560.81
INV00059,C00408,"P00293,P00173,P00074,P00244,P00225",2024-06-18,CYB,P00244,P00244,Groceries,190.75,F,42,Mobile Payment,190.75,7560.81
INV00059,C00408,"P00293,P00173,P00074,P00244,P00225",2024-06-18,CYB,P00225,P00225,Electronics,2307.01,F,42,Mobile Payment,2307.01,7560.81
INV00060,C00387,"P00408,P00190,P00149,P00457,P00264",2025-03-06,ST,P00408,P00408,Books,547.16,F,55,Mobile Payment,547.16,2574.74
INV00060,C00387,"P00408,P00190,P00149,P00457,P00264",2025-03-06,ST,P00190,P00190,Books,522.71,F,55,Mobile Payment,522.71,2574.74
INV00060,C00387,"P00408,P00190,P00149,P00457,P00264",2025-03-06,ST,P00149,P00149,Toys,97.2,F,55,Mobile Payment,97.2,2574.74
INV00060,C00387,"P00408,P00190,P00149,P00457,P00264",2025-03-06,ST,P00457,P00457,Clothing,812.17,F,55,Mobile Payment,812.17,2574.74
